id	year	name	position	teams	toi	xgoalsfor	xgoalsagainst	fenwickfor	fenwickagainst	ofaceoffs	nfaceoffs	dfaceoffs	attempts	shots	goals	xgoals	shotsx
8475098	20122013	Tyler Bozak 	Center	TOR	51526	24.0709374333	30.1055332376	437	545	201	260	248	68	47	10	5.54557097889	5.01781539619
8473682	20122013	Andrew Ebbett 	Center	VAN	18989	9.91918162722	14.4328015177	171	228	62	96	107	29	20	1	1.94781275932	1.68923765235
8460577	20122013	Milan Hejduk 	Right Wing	COL	22860	11.3213750646	13.9982550209	195	223	81	103	94	50	40	3	3.75943996757	4.23822177947
8474837	20122013	Mark Cundari 	Defense	CGY	4526	2.08527552243	3.30978469178	35	49	15	24	17	10	8	1	0.43992718216	0.584952469915
8473962	20122013	Teddy Purcell 	Right Wing	T.B	48104	24.8622593377	23.1827461608	415	434	206	218	173	114	87	10	6.63506069873	7.15669853799
8471700	20122013	Matt Pelech 	Right Wing	S.J	1079	0.161195879802	0.888455095701	2	18	4	6	4	0	0	0	0	0
8471701	20122013	Joe Finley 	Defense	NYI	11249	5.62488532625	7.8669182295	81	118	51	67	50	4	2	0	0.0936399381608	0.0652643665671
8471702	20122013	Matt Niskanen 	Defense	PIT	46158	26.2900938755	26.1550987484	473	432	187	211	188	100	61	4	2.68168828264	2.33066845685
8471817	20122013	Ryan Reaves 	Right Wing	STL	19216	10.3222412663	8.01593230572	175	146	82	87	95	28	24	4	2.31884615682	2.6647499837
8470794	20122013	Joe Pavelski 	Center	S.J	49952	25.6640772643	21.0219393903	460	389	234	231	227	160	113	16	11.3802704439	11.0930295903
8471705	20122013	Brendan Mikkelson 	Defense	T.B	2342	0.505557492375	1.61076004896	14	30	6	16	14	0	0	0	0	0
8474674	20122013	James Wright 	Center	WPG	23162	10.7967275232	14.7237937087	203	240	98	113	108	39	29	2	2.29732371587	2.17958937585
8471707	20122013	James Neal 	Left Wing	PIT	41894	24.038274656	19.7168834247	380	330	189	194	134	160	126	18	12.5093036126	13.6409182288
8470798	20122013	Dylan Reese 	Defense	PIT	2673	1.15599147696	1.28536083922	17	27	10	13	11	2	1	0	0.0336879538372	0.0178198479116
8471709	20122013	Marc-Edouard Vlasic 	Defense	S.J	53770	34.7985896664	26.0970885754	589	483	242	276	271	78	48	3	2.24687019549	2.1327116536
8465978	20122013	Shawn Thornton 	Left Wing	BOS	21886	12.1552112196	12.3221130921	221	238	105	100	66	69	52	3	4.01157139521	3.89872427471
8473563	20122013	Nicklas Backstrom 	Center	WSH	52915	23.9485994615	22.8138818657	425	430	215	232	219	99	69	8	8.17623198591	7.93138342537
8473560	20122013	Korbinian Holzer 	Defense	TOR	21033	10.6621423773	16.8334637461	200	300	97	142	136	23	16	2	0.654843539	0.725020515732
8470265	20122013	Anton Babchuk 	Defense	CGY	4977	2.16474567633	3.82000604179	40	63	24	31	28	6	3	0	0.220827933401	0.0629213470966
8468498	20122013	Brooks Orpik 	Defense	PIT	52761	31.815406559	33.5822963212	508	589	235	358	286	38	26	0	0.704409151338	0.584157408215
8473565	20122013	Brian Strait 	Defense	NYI	17749	12.0111143142	13.3622986767	192	181	87	111	64	19	12	0	0.38284154702	0.360892815515
8469626	20122013	Andrew Alberts 	Defense	VAN	19919	10.422617794	13.563072714	174	209	63	83	86	24	15	0	0.709308559075	0.547490963712
8473568	20122013	Andreas Nodl 	Right Wing	CAR	3972	1.89933531638	2.06228855718	34	33	22	26	14	8	5	0	0.346031134948	0.345952242613
8473569	20122013	Jan Mursak 	Left Wing	DET	677	0.082662159577	0.113028722815	4	2	2	1	6	0	0	0	0	0
8469622	20122013	Ryane Clowe 	Left Wing	S.J,NYR	39898	22.2307299608	17.7119255131	368	322	176	167	158	119	85	3	8.77965319622	7.94513690937
8468493	20122013	Ron Hainsey 	Defense	WPG	56131	33.7521465486	36.4761798093	579	626	232	267	290	64	43	0	1.55263369903	1.59035002906
8476116	20122013	Ryan Garbutt 	Center	DAL	19909	12.2276382754	14.5481135445	213	232	77	101	116	64	51	3	3.74259296898	4.42623295076
8475848	20122013	Brendan Gallagher 	Right Wing	MTL	36559	26.0159299169	15.3287111949	416	286	216	213	106	152	117	15	13.8120960575	13.4866005937
8470638	20122013	Patrice Bergeron 	Center	BOS	43045	26.861818593	18.3075228734	503	327	192	229	268	146	105	8	10.4958295161	10.7886638567
8464981	20122013	Cory Sarich 	Defense	CGY	23287	12.9190813694	13.3067016322	223	241	98	137	139	17	12	0	0.3505168017	0.367604933679
8470144	20122013	Frans Nielsen 	Center	NYI	44871	21.2763089696	25.4608184043	366	387	171	222	188	114	84	5	7.99784030207	7.96054229606
8470816	20122013	Jay Rosehill 	Left Wing	PHI	4483	1.44299353566	3.27482152078	35	53	9	20	38	10	7	1	0.552057303488	0.36402079463
8474091	20122013	Brandon Sutter 	Center	PIT	41801	20.6886728099	24.8535763165	355	461	139	213	218	105	77	9	6.9547468815	6.9705196172
8474090	20122013	Brendan Smith 	Defense	DET	34928	19.3990607029	16.7626247527	358	282	170	151	126	41	26	0	1.19937695935	1.19674374908
