id	year	name	position	teams	toi	xgoalsfor	xgoalsagainst	fenwickfor	fenwickagainst	ofaceoffs	nfaceoffs	dfaceoffs	attempts	shots	goals	xgoals	shotsx
8475098	20112012	Tyler Bozak 	Center	TOR	79525	43.9886235297	50.7949571693	710	837	311	332	293	149	99	15	13.3743932787	12.1844070088
8468789	20112012	Jason Williams 	Center	PIT	5058	2.66291378532	2.16825312469	47	43	22	18	9	10	4	1	0.521305619739	0.121328029782
8473682	20112012	Andrew Ebbett 	Center	VAN	9961	5.61179888062	5.69800651819	103	84	25	45	41	32	24	3	2.5108017996	2.46368274838
8460577	20112012	Milan Hejduk 	Right Wing	COL	82384	44.2065490372	47.8325841902	783	754	370	389	277	202	155	14	14.9328017328	16.040269237
8473962	20112012	Teddy Purcell 	Right Wing	T.B	78192	42.5086242631	43.4704430476	712	715	318	398	251	192	139	21	13.0746612437	13.8886718396
8471701	20112012	Joe Finley 	Defense	BUF	2328	1.16276790667	1.84000212047	20	32	5	10	14	2	1	0	0.0280543100089	0.0169614423066
8471702	20112012	Matt Niskanen 	Defense	PIT	78536	46.8845100012	39.4101256141	808	622	345	386	261	170	111	4	5.443188929	4.88726939727
8471703	20112012	Steve Downie 	Right Wing	T.B,COL	71653	41.3459140984	39.4796735523	702	632	263	362	262	170	121	14	11.372350283	10.7532741707
8470794	20112012	Joe Pavelski 	Center	S.J	93645	54.4722048668	43.3178935349	913	751	395	387	441	350	238	26	28.269233387	27.1838720515
8471811	20112012	Cal O'Reilly 	Center	NSH,PHX,PIT	24817	10.4556715423	14.9853793429	184	262	81	105	64	23	16	2	2.1896032244	1.9651166182
8471707	20112012	James Neal 	Left Wing	PIT	91757	56.9271246903	45.5347623527	938	676	413	409	238	395	284	36	27.8049256057	28.5694189901
8470798	20112012	Dylan Reese 	Defense	NYI	27475	18.3414547704	17.398101544	293	265	102	136	106	36	21	1	0.762383766472	0.715441330336
8471709	20112012	Marc-Edouard Vlasic 	Defense	S.J	103474	63.5939075472	54.9204647196	1104	951	386	542	433	168	101	3	4.94196310919	4.49822836556
8465978	20112012	Shawn Thornton 	Left Wing	BOS	44529	23.8993360195	25.3125342773	430	483	166	242	154	138	100	4	7.83665766474	7.97905694135
8467331	20112012	Brad Stuart 	Defense	DET	86890	56.6472821664	50.1857448937	893	794	400	450	329	123	82	5	3.10130152013	3.11552861799
8473562	20112012	John McCarthy 	Left Wing	S.J	5661	4.4056569906	3.40373492707	67	70	30	26	19	14	13	0	1.45610800013	1.62121376209
8473563	20112012	Nicklas Backstrom 	Center	WSH	45759	21.691731846	22.9640494306	408	394	174	190	159	107	75	11	7.33004779555	7.10435862094
8470265	20112012	Anton Babchuk 	Defense	CGY	27755	11.3919843836	13.9725512089	209	243	109	110	107	65	44	1	1.77373377047	1.5596975591
8473564	20112012	Michael Frolik 	Right Wing	CHI	44688	23.9630358247	24.7251295643	438	407	171	272	213	141	102	3	8.27209646907	8.67066452466
8473565	20112012	Brian Strait 	Defense	PIT	6744	4.93555661291	4.03101231996	75	71	34	42	21	11	4	0	0.214912795462	0.153782077134
8469626	20112012	Andrew Alberts 	Defense	VAN	34689	17.8601399064	22.7204756718	305	361	108	182	165	29	18	2	0.715539448895	0.725576416589
8473568	20112012	Andreas Nodl 	Right Wing	PHI,CAR	40389	22.934413393	26.2529108049	382	451	143	236	177	93	58	3	6.07881048508	5.45303991996
8473569	20112012	Jan Mursak 	Left Wing	DET	11335	4.97694016527	5.84714878257	105	106	65	52	30	31	22	1	1.3894802006	1.47405266203
8469622	20112012	Ryane Clowe 	Left Wing	S.J	81342	46.233459645	41.5197125422	809	702	344	360	266	214	166	14	16.5962516209	17.7876747251
8469623	20112012	Marek Zidlicky 	Defense	MIN,N.J	79044	41.3016219428	34.8500692639	656	625	314	344	296	86	61	2	3.80298062693	3.88525813632
8476116	20112012	Ryan Garbutt 	Center	DAL	9803	6.85474819224	5.42184819654	127	91	46	45	48	41	27	1	2.25722322986	1.89249105565
8470638	20112012	Patrice Bergeron 	Center	BOS	81505	46.4206717107	30.8126157084	868	584	375	432	420	239	161	18	17.6955718277	16.764744903
8470144	20112012	Frans Nielsen 	Center	NYI	75940	33.6975227771	39.7634836342	626	609	273	375	339	158	116	17	11.8069178285	12.5072936323
8474220	20112012	Jerome Samson 	Right Wing	CAR	11765	8.5360953128	8.60901118629	125	133	49	58	42	42	30	2	2.93909343239	3.00987911597
8470816	20112012	Jay Rosehill 	Left Wing	TOR	10990	4.28806053475	6.96075327136	74	112	53	77	31	14	14	0	1.35043924861	1.73277201131
8467439	20112012	Jaroslav Spacek 	Defense	MTL,CAR	42693	26.8835496157	25.2701328173	443	425	213	204	153	55	37	4	1.53965748008	1.43008951284
8474091	20112012	Brandon Sutter 	Center	CAR	74101	42.2948923362	50.4218918132	691	812	220	419	422	194	145	12	13.3420706633	13.4249445954
8474090	20112012	Brendan Smith 	Defense	DET	13073	9.35100223869	6.18121244758	147	92	57	49	36	20	12	1	1.10379820503	0.92585035041
8474096	20112012	Nick Spaling 	Center	NSH	63541	37.8797945846	41.7875709068	607	691	279	330	347	132	104	10	10.5259959362	10.8097794047
8474095	20112012	Dana Tyrell 	Center	T.B	13973	7.93826999702	7.92911711708	127	150	42	109	70	31	22	0	2.00020203087	1.81673709489
8474094	20112012	Matt Halischuk 	Right Wing	NSH	43702	24.6553710671	27.5860364521	357	468	195	269	206	105	86	13	10.1243750053	11.0730121415
8471371	20112012	Mike Brown 	Right Wing	TOR	25933	14.1833771495	15.0415514335	249	265	98	142	137	82	53	2	5.63021044433	5.13120786101
8471222	20112012	Ladislav Smid 	Defense	EDM	82052	47.7397755664	51.6568949772	788	805	352	511	355	62	45	5	1.99919479061	2.21366897039
8471220	20112012	Rostislav Olesz 	Left Wing	CHI	3278	0.942078297958	1.83300522901	25	38	18	19	13	6	6	0	0.28467852436	0.398149268702
8471226	20112012	Drew Stafford 	Right Wing	BUF	79927	43.4351743665	43.2484249026	728	779	292	353	247	275	209	17	21.0070773829	20.619759772
8471634	20112012	Ryan Shannon 	Right Wing	T.B	31331	16.8114858875	15.7755189035	294	272	96	144	125	60	44	4	4.66793923825	4.48031482287
8471229	20112012	Petteri Nokelainen 	Center	PHX,MTL	25082	10.0663337391	13.7133951774	204	247	78	131	106	49	36	3	2.92919631768	2.96613516659
8471228	20112012	Alexander Radulov 	Right Wing	NSH	10441	6.8085122155	5.93390764389	108	95	38	39	46	26	19	3	2.43183656968	2.44729427248
8470729	20112012	Tyson Strachan 	Defense	FLA	12725	4.77387306746	7.10505857971	109	117	58	66	48	21	12	1	0.546304477379	0.308257207274
8471816	20112012	Mark Fayne 	Defense	N.J	92269	44.4131856151	40.2126952456	775	710	338	518	345	120	84	3	3.07668839954	2.86206662375
8470324	20112012	Josh Gorges 	Defense	MTL	92190	48.4421933023	47.7282565767	831	857	358	573	450	72	45	1	1.76968999393	1.53397597279
8471817	20112012	Ryan Reaves 	Right Wing	STL	23460	12.6927767815	10.2215660587	227	186	101	111	62	44	32	3	3.65193707403	3.3075721506
8470318	20112012	Jonathan Ericsson 	Defense	DET	62341	40.9085413748	35.9663232481	674	574	287	310	197	73	49	1	1.90318512544	1.61640770268
8473512	20112012	Claude Giroux 	Right Wing	PHI	89188	53.2835841114	46.3778510895	810	726	329	379	350	278	200	22	20.7291705534	20.4094585152
8473511	20112012	David McIntyre 	Center	MIN	4226	2.08372965641	3.02375857811	41	55	13	16	25	9	6	1	0.362569130957	0.383348023519
8470649	20112012	Patrick O'Sullivan 	Center	PHX	15239	6.68925359752	10.0531539144	119	173	57	60	42	43	32	2	2.7766492106	3.00358606689
