id	year	name	position	teams	toi	xgoalsfor	xgoalsagainst	fenwickfor	fenwickagainst	ofaceoffs	nfaceoffs	dfaceoffs	attempts	shots	goals	xgoals	shotsx
8473687	20092010	Trevor Frischmon 	Center	CBJ	1098	0.434934124351	0.29996804893	7	4	2	4	1	3	1	0	0.206061962992	0.123956240714
8468789	20092010	Jason Williams 	Center	DET	35720	16.638964518	15.0965825617	326	273	141	152	112	122	91	6	6.33311050851	6.68462101743
8473682	20092010	Andrew Ebbett 	Center	ANA,CHI,MIN	43172	22.4492516657	23.3775539892	402	443	136	215	173	98	66	8	6.59196820483	6.28149729036
8460577	20092010	Milan Hejduk 	Right Wing	COL	62296	27.5832667509	32.851602314	459	527	219	313	246	169	136	19	12.5730182026	14.3725745007
8473962	20092010	Teddy Purcell 	Right Wing	L.A,T.B	46249	25.2221256252	24.2638287675	445	449	166	207	142	136	98	5	9.29982641526	9.66324322484
8449895	20092010	Owen Nolan 	Right Wing	MIN	66448	30.0690542646	30.3230463341	564	590	224	299	338	183	130	14	12.6820022771	12.3099165466
8471703	20092010	Steve Downie 	Right Wing	T.B	69689	35.2308145389	32.7860999256	597	600	235	356	196	142	102	22	10.7934299707	11.3429015744
8470794	20092010	Joe Pavelski 	Center	S.J	68656	43.6576917227	37.5092994496	708	622	236	295	258	283	210	24	22.5277640009	22.2444701865
8471705	20092010	Brendan Mikkelson 	Defense	ANA	23987	13.5690552797	16.3707621275	225	289	107	117	82	26	17	0	0.806115421467	0.884350188076
8471707	20092010	James Neal 	Left Wing	DAL	80692	42.4336003121	46.192063788	708	787	283	328	243	238	176	24	20.3917197604	19.6491709724
8471708	20092010	Ryan Stoa 	Center	COL	7967	6.33685881644	5.40772932488	81	86	33	46	18	28	24	1	2.54806633294	2.66265727952
8471709	20092010	Marc-Edouard Vlasic 	Defense	S.J	73419	43.8612169987	41.6887792982	745	734	244	355	320	115	68	3	4.02596733067	3.74480535276
8465978	20092010	Shawn Thornton 	Left Wing	BOS	40157	23.0516740521	21.4936775435	425	386	152	216	139	140	109	1	7.27187158633	8.0806294987
8467331	20092010	Brad Stuart 	Defense	DET	97333	57.3528142609	53.4857509304	1019	950	425	446	354	208	133	3	6.95631195605	6.58811554313
8462129	20092010	Michal Handzus 	Center	L.A	75704	33.5713985777	35.6155436188	543	626	253	353	303	141	102	13	14.3601168822	13.577604048
8473562	20092010	John McCarthy 	Left Wing	S.J	2191	1.05927432142	1.72062191833	23	27	13	11	9	4	3	0	0.156244309619	0.103385172784
8473563	20092010	Nicklas Backstrom 	Center	WSH	95262	52.3804523787	43.4074865691	928	761	357	414	258	252	183	29	18.7849974986	19.2374291867
8470047	20092010	Valtteri Filppula 	Center	DET	56470	31.850463639	28.5284223119	550	516	222	247	200	122	98	8	8.73026752844	9.86267477088
8468498	20092010	Brooks Orpik 	Defense	PIT	75374	48.9760524519	44.8121049702	862	781	324	453	271	73	50	2	2.06826461852	1.99543468468
8469626	20092010	Andrew Alberts 	Defense	CAR,VAN	62007	40.5198956858	45.2179252543	646	637	238	346	261	62	37	2	1.66237251833	1.39882852137
8473568	20092010	Andreas Nodl 	Right Wing	PHI	4749	2.21055669617	2.91058487445	45	41	14	20	17	3	2	0	0.22360400483	0.158530510962
8469622	20092010	Ryane Clowe 	Left Wing	S.J	84210	54.1290523335	49.7212135596	888	816	294	401	316	227	175	14	17.8418610645	18.7341108881
