id	name	position	teams	toi	xgoalsfor	xgoalsagainst	fenwickfor	fenwickagainst	ofaceoffs	nfaceoffs	dfaceoffs	attempts	shots	goals	xgoals	shotsx
8471231	Kyle Chipchura 	Center	ARI,PHX,ANA,MTL	244609	140.088862759	159.432587074	2455	2736	1001	1383	1207	385	292	23	30.5149655649	30.8914459534
8471232	Lauri Korpikoski 	Left Wing	ARI,PHX,NYR,EDM	358601	193.333151423	239.482479522	3295	4004	1512	1883	1596	817	562	57	60.7728004465	58.0336430203
8471233	Travis Zajac 	Center	N.J	570562	284.5042753	240.62092035	5101	4284	2178	2520	1923	1297	982	92	98.6023512706	101.897566853
8471234	Wojtek Wolski 	Left Wing	WSH,NYR,FLA,PHX,COL	345527	190.865570454	175.778491043	3056	3044	1224	1491	1161	894	680	65	69.2630182449	72.0680109179
8471235	Lukas Kaspar 	Left Wing	S.J	9315	4.40187809616	4.20517769177	97	68	43	46	20	23	18	2	1.3827092303	1.68392944522
8471236	Andrej Meszaros 	Defense	BUF,PHI,BOS,T.B,OTT	530841	284.471518087	296.549089929	4807	5192	2031	2675	2027	993	698	41	32.3438334763	31.7090495862
8471237	Kris Chucko 	Right Wing	CGY	815	0.141090242192	0.986958468333	2	13	1	4	0	0	0	0	0	0
8471238	Rob Schremp 	Center	NYI,ATL,EDM	93821	45.3593054134	51.9932637261	771	823	305	361	329	205	147	17	14.0409589699	14.5696687065
8468674	Deryk Engelland 	Defense	CGY,PIT	258293	146.06357484	167.083091198	2598	2847	1113	1501	1159	376	269	15	9.18704765476	9.66084772628
8470329	Chris Campoli 	Defense	MTL,OTT,CHI,NYI	326707	174.267086984	168.247575364	2787	2859	1200	1427	1157	422	306	20	17.1505499771	18.1022289796
8473505	Peter LeBlanc 	Center	WSH	566	0.167008997872	0.679162738845	3	9	3	2	2	1	0	0	0.0976557433605	0
8470639	Dan Fritsche 	Center	NYR,MIN,CBJ	79675	42.3754644515	44.1881588753	743	793	279	422	300	197	151	11	13.6919327872	14.2184450794
8473507	Jeff Petry 	Defense	EDM,MTL	358336	195.711249073	216.701884679	3268	3621	1342	1785	1603	578	383	18	18.295280545	18.0633844119
8473501	Ty Wishart 	Defense	NYI,T.B	22323	16.3933167402	13.2994349496	243	225	77	123	82	35	21	1	0.859153757803	0.75814606715
8470321	Patrick Rissmiller 	Left Wing,Center	ATL,FLA,NYR,S.J	60127	28.8559722537	27.1255617449	599	535	207	310	222	178	127	7	9.53582909517	9.4362464752
8470631	Kamil Kreps 	Center	FLA	145549	73.8502708748	90.0291158855	1319	1650	637	689	817	295	232	16	19.2443267927	21.2001453023
8470630	Kevin Klein 	Defense	NYR,NSH	484590	281.443011773	312.307558416	4451	5027	1971	2568	2349	625	422	21	19.813719091	20.2646435257
8470324	Josh Gorges 	Defense	BUF,MTL	533830	276.690120485	299.067266373	4676	5291	2118	3117	2588	493	271	10	12.8565314505	9.96672283206
8470635	Petr Vrana 	Center	N.J	6615	3.28297717217	3.49832915328	58	57	25	39	16	10	6	1	0.827667394653	0.720950856805
8470634	Matt Smaby 	Defense	T.B	86505	47.3816258404	48.6682605352	841	952	313	471	358	82	54	0	1.4265066972	1.39225293417
