id	year	name	position	teams	toi	xgoalsfor	xgoalsagainst	fenwickfor	fenwickagainst	ofaceoffs	nfaceoffs	dfaceoffs	attempts	shots	goals	xgoals	shotsx
8475414	20132014	Craig Cunningham 	Left Wing	BOS	1103	0.670808691531	0.524243191816	11	12	5	8	1	4	4	0	0.388909751549	0.472197905183
8475098	20132014	Tyler Bozak 	Center	TOR	68772	34.9009544337	46.6841108194	609	830	260	367	396	107	77	14	9.19945021532	8.96898064204
8473682	20132014	Andrew Ebbett 	Center	PIT	5701	2.37675872352	3.31256016809	39	61	26	29	28	12	8	0	0.638332416303	0.427292486653
8470611	20132014	Eric Fehr 	Right Wing	WSH	60204	34.5509301638	34.9775914671	575	629	238	326	271	158	123	12	10.8005848145	11.7051528953
8474837	20132014	Mark Cundari 	Defense	CGY	2587	1.21439207718	1.63404984586	27	30	17	16	6	4	3	0	0.123594899662	0.14878448844
8473962	20132014	Teddy Purcell 	Right Wing	T.B	79918	40.7509736307	36.8568349686	737	648	335	362	267	201	138	11	13.2787628807	12.912610542
8471700	20132014	Matt Pelech 	Right Wing	S.J	1414	0.608463007025	0.544405708089	13	12	3	9	8	4	3	1	0.358105879277	0.195273373276
8471702	20132014	Matt Niskanen 	Defense	PIT	100011	50.2466048868	43.8984640036	906	783	357	432	371	220	152	9	6.41227175482	6.17075321916
8471817	20132014	Ryan Reaves 	Right Wing	STL	32211	15.8872164851	16.5361748021	290	304	133	184	121	45	23	2	3.28428299259	2.37901373021
8470794	20132014	Joe Pavelski 	Center	S.J	89824	54.2515924713	40.9944141256	920	699	389	377	433	307	193	36	24.9979696646	21.301040858
8471707	20132014	James Neal 	Left Wing	PIT	65239	36.5410470199	30.8681703405	640	527	282	261	213	288	212	23	18.2826981954	20.0281343516
8471708	20132014	Ryan Stoa 	Center	WSH	1635	0.537262922153	0.653165637515	13	12	6	10	4	3	2	0	0.293251607567	0.316772535443
8471709	20132014	Marc-Edouard Vlasic 	Defense	S.J	90009	63.2572361557	39.2477594288	1072	727	421	540	432	188	115	4	5.13582197949	4.38440921158
8465978	20132014	Shawn Thornton 	Left Wing	BOS	33768	16.7360767312	16.7563914731	313	335	184	174	96	117	85	5	6.13758991379	6.34310877416
8473562	20132014	John McCarthy 	Left Wing	S.J	21297	13.0077479128	10.6257836362	220	204	109	127	105	50	43	1	3.89144058526	4.54771113582
8473563	20132014	Nicklas Backstrom 	Center	WSH	92654	38.4642619006	45.7958633164	763	819	432	357	323	230	168	15	16.6140222074	16.7942285426
8475845	20132014	Justin Florek 	Left Wing	BOS	2655	1.61944004055	1.22986659966	28	24	12	16	17	7	5	1	0.360916137695	0.341820053756
8475844	20132014	Kenny Agostino 	Left Wing	CGY	5324	2.72330521606	4.39412087761	54	67	26	38	19	17	12	1	1.08473098464	1.20929931849
8473564	20132014	Michael Frolik 	Right Wing	WPG	74669	50.1296421867	45.8232638156	831	749	309	436	291	239	173	15	15.8214824051	15.9608281776
8473565	20132014	Brian Strait 	Defense	NYI	43178	25.1702909535	33.2239024043	388	499	202	234	210	52	38	2	1.65843083616	1.75056423061
8469626	20132014	Andrew Alberts 	Defense	VAN	4215	1.69687480573	2.60770773422	34	45	18	22	30	7	5	0	0.151931071654	0.168162852526
8469622	20132014	Ryane Clowe 	Left Wing	N.J	41589	22.151890194	19.6296579959	374	339	133	197	134	89	72	6	6.6274342807	7.13040035218
8469623	20132014	Marek Zidlicky 	Defense	N.J	103756	54.2266604109	43.0404349957	851	748	441	500	309	159	112	9	7.09583107848	7.34627568442
8476116	20132014	Ryan Garbutt 	Center	DAL	52642	36.0288162306	32.529454424	605	542	234	336	295	212	146	14	12.4501059456	11.5051244702
8475848	20132014	Brendan Gallagher 	Right Wing	MTL	77197	48.4175221873	38.9212732594	776	689	344	422	345	268	197	18	23.3446142506	22.3927921169
