id	year	name	position	teams	toi	xgoalsfor	xgoalsagainst	fenwickfor	fenwickagainst	ofaceoffs	nfaceoffs	dfaceoffs	attempts	shots	goals	xgoals	shotsx
8475414	20142015	Craig Cunningham 	Left Wing	BOS,ARI	29133	14.4039334683	18.8911927138	264	332	96	164	181	58	46	2	3.8211448798	4.00499457493
8475098	20142015	Tyler Bozak 	Center	TOR	90773	42.6704285769	54.9899248648	776	924	378	411	406	174	130	19	16.7964241635	17.2946915627
8473682	20142015	Andrew Ebbett 	Center	PIT	11716	5.15812909603	6.58718125988	90	105	38	52	36	23	18	1	1.2958947001	1.20969615132
8464989	20142015	Matt Cullen 	Center	NSH	45412	29.7250443706	24.0137900254	522	432	272	252	224	121	84	7	8.74307913054	8.03415600117
8473962	20142015	Teddy Purcell 	Right Wing	EDM	78944	38.8181214938	44.5164096439	703	754	363	386	259	179	129	11	11.6258950206	11.5409097057
8471702	20142015	Matt Niskanen 	Defense	WSH	98724	50.786422628	46.0272320472	905	827	444	530	411	172	101	4	4.75309396069	4.27032058313
8471817	20142015	Ryan Reaves 	Right Wing	STL	41382	20.1775597297	24.8490474802	359	418	164	222	168	77	55	6	6.11965095904	6.11683685705
8470794	20142015	Joe Pavelski 	Center	S.J	91467	50.6259133285	38.7852638327	894	666	489	415	457	320	234	33	29.1958888145	30.1291606231
8477429	20142015	Andrew Copp 	Center	WPG	775	0.674483073875	0.396416065283	9	6	2	3	3	4	4	0	0.328313751146	0.409070437774
8471707	20142015	James Neal 	Left Wing	NSH	72655	41.6586504439	33.5438065035	767	587	435	303	229	278	195	18	18.5491417767	18.5329131763
8470798	20142015	Dylan Reese 	Defense	ARI	1129	0.969337008893	0.626566269435	18	10	4	12	5	3	2	0	0.0432785451412	0.0357406251132
8471709	20142015	Marc-Edouard Vlasic 	Defense	S.J	82811	50.1730468888	45.8900013762	836	794	354	482	453	123	80	5	3.90676571056	3.91003991663
8465978	20142015	Shawn Thornton 	Left Wing	FLA	26392	11.7108309222	15.1026679296	234	276	133	142	132	57	44	1	3.68381292932	3.86324389279
8473563	20142015	Nicklas Backstrom 	Center	WSH	96265	46.8912929967	40.9825229468	906	752	458	463	358	196	128	15	12.4142011441	12.0199035034
8477942	20142015	Kevin Fiala 	Left Wing	NSH	685	0.464692078531	0.60943425633	9	10	7	1	4	3	3	0	0.231199868023	0.319361425936
8475842	20142015	Sam Carrick 	Center	TOR	6065	3.17886866443	4.15042908397	63	74	28	35	31	21	16	1	1.25342397019	1.38354959153
8468498	20142015	Brooks Orpik 	Defense	WSH	88940	52.6821919531	49.939366322	909	907	420	520	427	72	48	0	1.26522173733	1.190743085
8473565	20142015	Brian Strait 	Defense	NYI	51855	37.8229969246	39.419127048	570	614	265	267	277	75	56	2	2.4759106487	2.90784439258
8469622	20142015	Ryane Clowe 	Left Wing	N.J	12205	4.4101704089	6.22624730598	91	115	38	51	45	18	15	1	1.35754857585	1.47476312146
8469623	20142015	Marek Zidlicky 	Defense	N.J,DET	104884	49.9305652734	47.4672446661	846	852	492	515	393	164	110	5	5.92758113146	5.26793437451
8476116	20142015	Ryan Garbutt 	Center	DAL	48283	35.3459408376	32.1229143208	557	530	218	353	314	182	121	5	12.0507019376	11.1711509377
8475848	20142015	Brendan Gallagher 	Right Wing	MTL	81459	51.8211295996	44.0633644778	833	730	406	481	332	308	234	21	26.0709456215	26.4350200184
8470638	20142015	Patrice Bergeron 	Center	BOS	79633	43.5536892591	28.7764013391	798	594	391	448	518	286	207	20	21.4681615653	21.6030658791
8470144	20142015	Frans Nielsen 	Center	NYI	69420	37.5013115183	33.1541316109	619	534	284	348	317	201	138	11	15.3644775925	15.3039239328
8474134	20142015	Yannick Weber 	Defense	VAN	64485	38.6222213218	37.7360800533	640	622	320	337	264	143	99	8	5.16588651855	5.03482436389
8476906	20142015	Shayne Gostisbehere 	Defense	PHI	1507	0.559990402311	1.36572938319	10	21	7	4	4	4	2	0	0.0696025341749	0.0383704900742
8474091	20142015	Brandon Sutter 	Center	PIT	72094	33.7492356114	35.4836605228	606	606	287	390	324	193	144	16	14.0005676923	13.8804008896
8474090	20142015	Brendan Smith 	Defense	DET	75995	44.9081253512	38.4550596969	760	638	392	350	267	96	66	3	2.47381303925	2.47561547812
8474096	20142015	Nick Spaling 	Center	PIT	65847	37.6034618216	35.4148674067	647	594	309	389	290	113	79	9	8.09605538379	7.6678699702
8474095	20142015	Dana Tyrell 	Center	CBJ	1249	0.331424858421	1.63910832349	7	25	9	7	5	1	1	0	0.0299678705633	0.0458990372717
8474094	20142015	Matt Halischuk 	Right Wing	WPG	26532	17.7208636142	15.6806861097	273	262	113	137	105	67	54	3	5.35972024407	5.61680351291
8476624	20142015	Barclay Goodrow 	Center	S.J	38231	19.3871182501	21.3456470026	361	403	167	186	193	92	67	4	5.96208902542	5.81236407626
8474098	20142015	Colton Sceviour 	Center	DAL	52883	36.3959170431	29.193201323	583	481	258	306	251	162	107	9	13.2753500463	11.8632469513
8470724	20142015	Kyle Quincey 	Defense	DET	75660	45.3107033866	38.9826583797	733	712	391	425	340	117	77	3	2.82005255017	2.42835830059
8476162	20142015	Steve Oleksy 	Defense	WSH	731	0.205711208284	0.62056154944	5	8	4	3	2	1	1	0	0.0169982984662	0.023841092363
8471226	20142015	Drew Stafford 	Right Wing	BUF,WPG	73394	34.3677427629	42.8108649915	537	725	278	313	351	178	139	17	14.5539695919	15.6405881681
8471636	20142015	Tim Sestito 	Center	N.J	7172	3.10392408632	4.31591626909	60	69	37	43	28	12	9	0	0.948037339374	1.04282276332
8476438	20142015	Brandon Saad 	Left Wing	CHI	79567	50.1343364501	42.6359393438	793	693	398	419	294	240	188	20	20.1916833241	21.0476091709
8470729	20142015	Tyson Strachan 	Defense	BUF	46476	20.6902754623	32.6072324067	350	563	190	251	267	51	37	0	0.978398748673	0.971299059689
8471816	20142015	Mark Fayne 	Defense	EDM	68555	30.4143573428	40.9644528432	581	699	338	446	444	90	65	2	1.99441999476	2.06804457121
8473584	20142015	Andrew MacDonald 	Defense	PHI	64027	31.3409982342	34.7755103903	549	596	312	282	265	79	49	2	2.26806733664	1.84143361263
8473514	20142015	Jesse Joensuu 	Left Wing	EDM	11914	6.5078201564	7.39709045831	112	129	21	56	148	25	15	1	1.68911832012	1.31624477543
8470318	20142015	Jonathan Ericsson 	Defense	DET	83176	48.612051161	47.9267853061	782	816	402	492	412	102	72	3	2.35805080645	2.4000932835
8473512	20142015	Claude Giroux 	Right Wing	PHI	96236	46.0439437516	44.9664554568	814	775	506	370	459	279	214	22	16.5208457923	17.9587986693
8476436	20142015	Dmitrij Jaskin 	Right Wing	STL	43541	28.1294922121	19.6755938157	475	345	177	223	201	154	107	13	13.3955881028	12.7113314681
8470647	20142015	B.J. Crombeen 	Right Wing	ARI	28121	14.4430520562	19.8408129979	247	343	104	153	136	58	42	3	3.71586721577	3.96324387193
8470644	20142015	Colin McDonald 	Right Wing	NYI	11337	9.27308774367	8.51476603933	125	127	41	91	51	38	28	2	3.1173269609	3.22132295184
8470317	20142015	Nate Guenin 	Defense	COL	66584	28.7860441096	48.5328531675	513	796	292	357	359	41	32	2	0.970406812616	1.04261100478
8470642	20142015	Shea Weber 	Defense	NSH	111902	60.4059257386	54.6924406607	1086	1032	547	619	638	285	206	12	9.9124139389	10.0850867564
8470867	20142015	Troy Bodie 	Right Wing	TOR	1385	0.936537191272	0.945615859702	16	20	8	5	6	1	1	0	0.0976557433605	0.129608735442
8470640	20142015	Matthew Carle 	Defense	T.B	65309	37.1913082376	31.1526382472	655	560	258	357	247	95	68	4	3.18104991317	3.18914018944
8475567	20142015	Julien Brouillette 	Defense	WPG	573	0.0379419587553	0.304406878538	1	5	0	4	5	0	0	0	0	0
8474137	20142015	Drayson Bowman 	Left Wing	MTL	1172	0.402458267286	0.878622541204	9	17	6	6	7	1	0	0	0.0379419587553	0
8466285	20142015	Brian Campbell 	Defense	FLA	109218	54.148556741	47.8562127743	991	858	546	448	349	140	105	3	5.26905745175	5.68149664253
8475980	20142015	Brody Sutter 	Center	CAR	1780	0.654232736677	1.35949522071	14	20	6	4	6	1	0	0	0.0827742666006	0
8474520	20142015	Jason Garrison 	Defense	T.B	74657	40.0084197409	32.4136009384	713	635	336	388	310	145	98	4	3.47642179951	3.34488561377
8476460	20142015	Mark Scheifele 	Center	WPG	88975	51.301329813	42.6499224566	814	716	353	353	378	219	162	13	17.4407359315	17.3361645062
8476461	20142015	Sean Couturier 	Center	PHI	79061	36.8852428403	41.7988999104	649	712	276	391	420	169	122	12	11.9612458013	11.4030328188
8476462	20142015	Dougie Hamilton 	Defense	BOS	87145	45.7356062708	43.4070625883	859	787	351	387	399	227	157	8	7.77044100408	7.58212898206
8476463	20142015	Jonas Brodin 	Defense	MIN	93394	52.7289089588	43.5355710648	921	837	455	566	431	108	84	2	2.78781159967	3.28272706456
8476464	20142015	Duncan Siemens 	Defense	COL	840	0.567548843101	0.526757366955	7	9	6	7	3	0	0	0	0	0
8476465	20142015	Ryan Murphy 	Defense	CAR	40523	21.0564839682	22.8337519784	349	354	186	207	123	73	51	4	2.66970890947	2.77246621251
8476466	20142015	Sven Baertschi 	Left Wing	CGY,VAN	10456	4.77110135648	6.95724644046	83	109	45	64	46	18	14	2	1.33679189719	1.35615963116
8469531	20142015	Jay Harrison 	Defense	CAR,WPG	47311	28.4752520109	32.9421941834	491	493	224	242	224	74	46	3	2.41865466628	2.3393575782
8476468	20142015	J.T. Miller 	Center	NYR	44125	30.6762994686	28.5339957075	463	456	193	232	180	120	88	10	9.72728906851	9.38894136436
8476469	20142015	Joel Armia 	Right Wing	BUF	887	0.418022301048	0.799177510664	4	9	2	8	3	0	0	0	0	0
8470920	20142015	David Clarkson 	Right Wing	TOR,CBJ	50481	25.96283767	29.5515121445	431	505	208	256	285	136	90	9	11.8697826462	10.6806902159
8468001	20142015	Derek MacKenzie 	Center	FLA	49489	22.2413839046	26.6652206928	428	493	265	259	275	82	57	3	4.99868165515	4.78282212745
8475147	20142015	Jordan Schroeder 	Center	MIN	16153	11.0101221986	7.18006215245	182	139	86	94	92	56	46	3	3.81728514936	4.20599083416
8474056	20142015	P.K. Subban 	Defense	MTL	118283	62.0675761672	59.9069769289	1064	976	554	616	553	208	134	14	6.80892453622	6.55306446832
8477126	20142015	Jayson Megna 	Center	PIT	7613	3.83226204943	5.1495028222	59	81	26	37	44	16	12	0	1.12455501501	1.17560836673
8477127	20142015	Raman Hrabarenka 	Defense	N.J	653	0.384048935026	0.206134532578	6	6	2	3	0	0	0	0	0	0
8459670	20142015	Kimmo Timonen 	Defense	CHI	11452	5.8662015833	9.30467852298	109	144	78	76	41	9	8	0	0.176531107165	0.207302468829
8475148	20142015	Tim Erixon 	Defense	CBJ,CHI,TOR	36681	19.9420224242	21.708998098	355	380	196	162	129	45	31	2	1.23072481714	1.35244836938
8475149	20142015	Marcus Johansson 	Center,Left Wing	WSH	80875	38.0455519352	35.2848848226	667	608	324	339	236	179	130	18	14.6179602854	14.7327075526
8471681	20142015	Jack Skille 	Right Wing	CBJ	33619	19.6249368712	23.2131593293	344	402	137	176	178	123	93	5	8.21935749706	8.45062323101
8474009	20142015	Nick Bonino 	Center	VAN	67299	38.5607442372	36.3718246352	647	596	288	299	326	176	134	15	14.564219241	15.0105463676
8471682	20142015	Devin Setoguchi 	Right Wing	CGY	8697	3.3842427833	5.87630143482	68	88	41	48	46	17	12	0	1.44198444299	1.45665651746
8471685	20142015	Anze Kopitar 	Center	L.A	83947	45.2504284531	33.0392606957	827	574	368	416	330	168	122	14	13.064408021	13.0150460973
