goalie	shots	xgoals	goals	teams
MARC DENIS	190	15.823	24	T.B
EVGENI NABOKOV	1740	128.919	137	S.J
CHRIS MASON	1239	97.159	109	NSH
TIMOTHY JR. THOMAS	1620	121.288	114	BOS
MAREK SCHWARZ	17	1.573	6	STL
JOSH HARDING	819	60.620	67	MIN
J-SEBASTIEN AUBIN	379	30.699	40	L.A
ANDREW RAYCROFT	486	39.423	53	TOR
ERIK ERSBERG	445	30.125	26	L.A
CURTIS SANFORD	305	21.009	26	VAN
SCOTT CLEMMENSEN	59	5.026	9	TOR
JASON LABARBERA	1301	107.408	111	L.A
JAMES HOWARD	92	7.642	7	DET
DANIEL TAYLOR	10	0.758	2	L.A
MARTIN GERBER	1568	127.953	129	OTT
CRAIG ANDERSON	521	42.040	31	FLA
TYLER WEIMAN	10	1.165	0	COL
KARI LEHTONEN	1532	118.163	120	ATL
ONDREJ PAVELEC	186	14.088	17	ATL
PASCAL LECLAIRE	1342	99.362	97	CBJ
MATHIEU GARON	1327	94.830	104	EDM
ROBERTO LUONGO	1978	146.638	150	VAN
CHRIS BECKFORD-TSEU	9	0.669	1	STL
JOCELYN THIBAULT	211	17.484	26	BUF
PEKKA RINNE	8	0.698	0	NSH
JEAN-SEBASTIEN GIGUERE	1463	117.887	103	ANA
VESA TOSKALA	1764	139.378	156	TOR
HENRIK LUNDQVIST	1733	154.550	130	NYR
RICK DIPIETRO	1699	140.994	141	NYI
CRISTOBAL HUET	1405	107.247	103	MTL,WSH
DREW MACINTYRE	22	1.547	2	VAN
MICHAEL LEIGHTON	66	6.033	6	CAR
KEVIN WEEKES	153	13.648	14	N.J
CAM WARD	1838	149.981	159	CAR
ALEXANDER AULD	774	58.423	63	PHX,BOS
NIKOLAI KHABIBULIN	1349	114.777	111	CHI
CURTIS JOSEPH	177	13.194	16	CGY
BRIAN BOUCHER	101	8.470	6	S.J
ANTERO NIITTYMAKI	716	58.565	61	PHI
JOHN GRAHAME	406	31.533	43	CAR
JONATHAN BERNIER	118	11.017	15	L.A
TY CONKLIN	983	71.989	66	PIT
EMMANUEL LEGACE	1472	122.359	113	STL
TOMAS VOKOUN	2147	162.936	153	FLA
CAREY PRICE	1244	98.543	91	MTL
DAN CLOUTIER	244	20.281	27	L.A
RAY EMERY	772	60.126	77	OTT
JOHAN HOLMQVIST	1114	78.884	105	T.B,DAL
DAN ELLIS	1121	85.489	73	NSH
RYAN MILLER	2040	145.285	166	BUF
HANNU TOIVONEN	552	46.552	56	STL
MARTY TURCO	1501	119.111	122	DAL
PATRICK LALIME	818	68.309	75	CHI
BRIAN ELLIOTT	29	2.412	1	OTT
JOSE THEODORE	1319	108.606	113	COL
MARC-ANDRE FLEURY	875	69.268	63	PIT
TUUKKA RASK	85	6.541	8	BOS
MANNY LEGACE	117	9.343	7	STL
MATT KEETLEY	2	0.066	0	CGY
ILJA BRYZGALOV	1767	131.982	131	ANA,PHX
JONATHAN QUICK	61	4.985	8	L.A
DIMITRI PATZOLD	20	2.010	4	S.J
PETER BUDAJ	820	68.340	75	COL
JONAS HILLER	565	48.491	33	ANA
DWAYNE ROLOSON	1177	87.163	106	EDM
THOMAS GREISS	50	3.821	5	S.J
JOHAN HEDBERG	996	72.002	98	ATL
MARTIN BIRON	1792	132.333	134	PHI
KARRI RAMO	614	45.078	55	T.B
COREY CRAWFORD	107	9.024	7	CHI
JOEY MACDONALD	70	5.785	4	NYI
EMMANUEL FERNANDEZ	79	6.781	16	BOS
MARTIN BRODEUR	2034	163.061	150	N.J
MIKE SMITH	825	66.089	83	DAL,T.B
STEPHEN VALIQUETTE	275	21.071	23	NYR
BRENT JOHNSON	488	36.669	39	WSH
DANIEL LACOSTA	5	0.144	0	CBJ
NIKLAS BACKSTROM	1581	111.102	115	MIN
DANY SABOURIN	576	43.835	56	PIT
TOBIAS STEPHAN	40	2.962	0	DAL
FREDRIK NORRENA	839	65.552	77	CBJ
CHRIS OSGOOD	938	78.345	72	DET
JAROSLAV HALAK	144	10.683	9	MTL
WADE DUBIELEWICZ	612	51.371	41	NYI
MIKAEL TELLQVIST	589	41.633	44	PHX
DAVID AEBISCHER	30	2.050	3	PHX
MIIKKA KIPRUSOFF	2036	154.239	174	CGY
CURTIS MCELHINNEY	50	4.359	5	CGY
DOMINIK HASEK	806	68.227	72	DET
OLAF KOLZIG	1371	106.562	138	WSH
