goalie	shots	xgoals	goals	teams
LOUIS DOMINGUE	154	12.200	11	ARI
CARTER HUTTON	438	37.335	41	NSH
EVGENI NABOKOV	243	22.403	28	T.B
JACOB MARKSTROM	33	2.360	4	VAN
LAURENT BROSSOIT	50	4.838	2	EDM
CAM TALBOT	996	85.993	69	NYR
JEFF ZATKOFF	17	0.893	1	PIT
ANTTI RAANTA	377	32.653	23	CHI
PHILIPP GRUBAUER	24	1.712	2	WSH
SCOTT CLEMMENSEN	53	4.538	6	N.J
JONI ORTIO	144	13.458	14	CGY
JASON LABARBERA	92	6.576	8	ANA
DUSTIN TOKARSKI	489	40.770	41	MTL
SEMYON VARLAMOV	1737	144.282	126	COL
ANTON KHUDOBIN	851	74.456	80	CAR
CRAIG ANDERSON	1091	85.429	75	OTT
PETR MRAZEK	741	60.953	55	DET
TROY GROSENICK	57	4.570	3	S.J
KARI LEHTONEN	1811	148.956	156	DAL
CORY SCHNEIDER	1920	158.920	130	N.J
MICHAEL HUTCHINSON	944	76.933	76	WPG
MARTIN JONES	299	24.354	27	L.A
ROBERTO LUONGO	1687	125.070	120	FLA
PEKKA RINNE	1741	135.818	123	NSH
ALEX STALOCK	540	49.416	52	S.J
ANDREI VASILEVSKIY	375	30.189	29	T.B
ANDREW HAMMOND	682	55.342	39	OTT
TYLER BUNZ	12	1.148	3	EDM
JIMMY HOWARD	1297	101.645	103	DET
VIKTOR FASTH	658	56.265	69	EDM
JOHN GIBSON	650	54.147	56	ANA
CAM WARD	1310	105.709	113	CAR
MAREK MAZANEC	45	4.359	4	NSH
AL MONTOYA	441	35.629	45	FLA
ROB ZEPP	218	16.485	23	PHI
ROBIN LEHNER	758	58.708	70	OTT
HENRIK LUNDQVIST	1280	109.427	96	NYR
STEVE MASON	1394	109.045	94	PHI
JONAS GUSTAVSSON	164	12.885	11	DET
CHRIS DRIEDGER	7	0.642	0	OTT
JONATHAN BERNIER	1681	131.433	134	TOR
ANDREY MAKAROV	36	3.500	3	BUF
ILYA BRYZGALOV	143	11.281	20	ANA
DARCY KUEMPER	689	50.973	64	MIN
CAREY PRICE	1870	153.549	115	MTL
RAY EMERY	731	59.357	71	PHI
BEN BISHOP	1580	115.867	120	T.B
RICHARD BACHMAN	160	13.684	13	EDM
DAN ELLIS	214	16.514	17	FLA
RYAN MILLER	1158	94.924	99	VAN
RETO BERRA	389	31.053	28	COL
BRIAN ELLIOTT	1111	87.910	84	STL
JUSSI RYNNAS	42	3.610	6	DAL
MARC-ANDRE FLEURY	1753	150.587	127	PIT
TUUKKA RASK	1918	143.211	145	BOS
KEITH KINKAID	457	35.843	34	N.J
CHAD JOHNSON	473	40.378	53	NYI
DEVAN DUBNYK	1571	122.463	104	ARI,MIN
JONATHAN QUICK	1817	145.085	140	L.A
SCOTT DARLING	411	36.275	24	CHI
JAKE ALLEN	879	75.018	72	STL
SERGEI BOBROVSKY	1582	129.414	123	CBJ
JAMES REIMER	967	78.614	85	TOR
MIKE MCKENNA	31	2.651	5	ARI
MICHAL NEUVIRTH	996	81.447	82	BUF,NYI
JHONAS ENROTH	1467	116.342	130	BUF,DAL
BEN SCRIVENS	1502	120.308	154	EDM
JONAS HILLER	1324	109.611	105	CGY
ANTTI NIEMI	1745	138.437	144	S.J
THOMAS GREISS	527	43.820	39	PIT
MATT HACKETT	153	11.745	16	BUF
KARRI RAMO	820	68.277	67	CGY
COREY CRAWFORD	1622	135.079	114	CHI
MARTIN BRODEUR	162	12.938	15	STL
KEVIN POULIN	25	1.869	2	NYI
ANTON FORSBERG	145	12.543	19	CBJ
MIKE SMITH	1900	157.275	173	ARI
TOM MCCOLLUM	25	2.064	1	DET
BRADEN HOLTBY	1940	149.335	138	WSH
NIKLAS SVEDBERG	408	32.990	31	BOS
EDDIE LACK	1166	100.125	88	VAN
NIKLAS BACKSTROM	442	34.769	47	MIN
ONDREJ PAVELEC	1301	113.160	95	WPG
MALCOLM SUBBAN	6	0.224	1	BOS
JAROSLAV HALAK	1595	150.065	134	NYI
JUSTIN PETERS	279	24.428	34	WSH
FREDERIK ANDERSEN	1359	113.674	106	ANA
ANDERS LINDBACK	778	57.358	65	DAL,BUF
CALVIN PICKARD	492	41.209	32	COL
JOHN CURRY	25	1.781	3	MIN
CURTIS MCELHINNEY	914	79.038	77	CBJ
MACKENZIE SKAPSKI	20	1.094	0	NYR
