goalie	shots	xgoals	goals	teams
RICHARD BACHMAN	276	24.015	30	DAL
MARTIN BIRON	151	12.521	12	NYR
JIMMY HOWARD	1086	95.057	74	DET
RICK DIPIETRO	81	6.707	12	NYI
CARTER HUTTON	28	2.446	2	CHI
DAN ELLIS	544	47.309	46	CAR
EVGENI NABOKOV	1111	98.579	94	NYI
ROBIN LEHNER	413	32.243	24	OTT
COREY CRAWFORD	739	61.141	50	CHI
JHONAS ENROTH	323	23.286	22	BUF
RYAN MILLER	1241	100.214	96	BUF
JUSTIN PETERS	499	45.014	50	CAR
JAKE ALLEN	329	30.286	31	STL
JOSH HARDING	68	5.106	10	MIN
VIKTOR FASTH	637	55.366	48	ANA
JOEY MACDONALD	553	48.065	53	CGY
SEMYON VARLAMOV	979	85.826	86	COL
MICHAEL LEIGHTON	25	2.095	5	PHI
MARTIN BRODEUR	629	48.412	55	N.J
JUSSI RYNNAS	5	0.640	0	TOR
JOSE THEODORE	385	29.514	35	FLA
CHRIS MASON	222	20.512	27	NSH
JEFF FRAZEE	3	0.327	0	N.J
CAM WARD	466	38.904	39	CAR
KEVIN POULIN	116	10.919	13	NYI
MIKE SMITH	912	76.857	77	PHX
AL MONTOYA	164	13.265	16	WPG
MARC-ANDRE FLEURY	851	70.451	67	PIT
TUUKKA RASK	949	73.619	64	BOS
NIKOLAI KHABIBULIN	369	31.574	27	EDM
ALEX STALOCK	13	0.970	1	S.J
KEITH KINKAID	13	0.770	1	N.J
BRIAN ELLIOTT	505	41.351	42	STL
CHAD JOHNSON	107	7.713	3	PHX
DEVAN DUBNYK	1100	94.682	81	EDM
CEDRICK DESJARDINS	72	5.638	7	T.B
ILYA BRYZGALOV	1033	81.702	95	PHI
PETR MRAZEK	46	2.839	4	DET
HENRIK LUNDQVIST	1142	93.328	82	NYR
DANIEL TAYLOR	67	5.405	6	CGY
JONATHAN QUICK	856	71.197	79	L.A
JASON LABARBERA	410	35.931	29	PHX
ANTON KHUDOBIN	373	28.662	26	BOS
BRADEN HOLTBY	1095	84.837	79	WSH
CRAIG ANDERSON	663	52.222	38	OTT
YANN DANIS	55	4.936	6	EDM
JONAS GUSTAVSSON	131	10.010	16	DET
MIIKKA KIPRUSOFF	629	53.324	71	CGY
STEVE MASON	541	43.039	44	CBJ,PHI
PETER BUDAJ	267	17.839	21	MTL
JONATHAN BERNIER	294	25.129	22	L.A
KARI LEHTONEN	1019	93.171	81	DAL
ONDREJ PAVELEC	1220	98.750	108	WPG
BEN BISHOP	680	52.440	52	OTT,T.B
SERGEI BOBROVSKY	1057	83.235	66	CBJ
SAMI AITTOKALLIO	25	1.750	2	COL
BRIAN BOUCHER	55	3.870	6	PHI
LELAND IRVING	124	10.618	15	CGY
JOHAN HEDBERG	419	34.797	45	N.J
JAMES REIMER	967	72.541	69	TOR
JAROSLAV HALAK	281	23.722	25	STL
CORY SCHNEIDER	801	67.579	56	VAN
ROBERTO LUONGO	538	44.858	47	VAN
MICHAL NEUVIRTH	361	27.669	29	WSH
MATHIEU GARON	413	31.844	39	T.B
ANDERS LINDBACK	617	45.688	52	T.B
PEKKA RINNE	1077	87.368	86	NSH
BEN SCRIVENS	525	39.177	45	TOR
JEAN-SEBASTIEN GIGUERE	453	38.390	38	COL
CAREY PRICE	981	77.254	83	MTL
JACOB MARKSTROM	661	53.793	64	FLA
JONAS HILLER	651	57.819	50	ANA
DARCY KUEMPER	117	10.231	10	MIN
PHILIPP GRUBAUER	57	6.421	4	WSH
RAY EMERY	447	38.174	32	CHI
ANTTI NIEMI	1178	87.920	80	S.J
NIKLAS BACKSTROM	1038	79.887	91	MIN
THOMAS GREISS	147	12.224	13	S.J
SCOTT CLEMMENSEN	410	34.773	48	FLA
TOMAS VOKOUN	500	39.825	37	PIT
MATT HACKETT	32	3.322	4	MIN
CRISTOPHER NILSTORP	138	10.724	10	DAL
