goalie	shots	xgoals	goals	teams
BRIAN FOSTER	1	0.124	0	FLA
EVGENI NABOKOV	1123	95.319	92	NYI
CHRIS MASON	409	33.377	39	WPG
JACOB MARKSTROM	218	16.084	15	FLA
JOSH HARDING	953	77.099	74	MIN
ANDREW RAYCROFT	291	21.103	31	DAL
CURTIS SANFORD	941	76.181	79	CBJ
SCOTT CLEMMENSEN	753	56.459	57	FLA
JASON LABARBERA	470	37.040	37	PHX
DUSTIN TOKARSKI	112	9.580	12	T.B
SEMYON VARLAMOV	1504	125.335	120	COL
ANTON KHUDOBIN	42	3.250	1	BOS
CRAIG ANDERSON	1857	152.212	146	OTT
YANN DANIS	12	0.708	1	EDM
KARI LEHTONEN	1668	132.925	127	DAL
ONDREJ PAVELEC	1964	162.537	164	WPG
ALLEN YORK	188	14.414	13	CBJ
MIKE MURPHY	9	0.814	0	CAR
ROBERTO LUONGO	1503	128.140	115	VAN
LELAND IRVING	228	17.238	19	CGY
MATHIEU GARON	1155	91.946	107	T.B
PEKKA RINNE	2076	167.645	157	NSH
JEAN-SEBASTIEN GIGUERE	827	67.470	64	COL
JEFF DESLAURIERS	108	10.378	10	ANA
BRIAN BOUCHER	253	21.129	26	CAR
JIMMY HOWARD	1424	121.267	102	DET
RICK DIPIETRO	165	14.021	18	NYI
HENRIK KARLSSON	234	18.350	19	CGY
DREW MACINTYRE	17	1.722	1	BUF
CAM WARD	2079	168.039	160	CAR
AL MONTOYA	788	68.088	76	NYI
ROBIN LEHNER	150	13.235	9	OTT
NIKOLAI KHABIBULIN	1079	93.997	89	EDM
HENRIK LUNDQVIST	1697	147.244	115	NYR
STEVE MASON	1313	109.941	133	CBJ
JONAS GUSTAVSSON	1101	89.181	101	TOR
JONATHAN BERNIER	368	30.990	32	L.A
TY CONKLIN	359	32.655	40	DET
ILYA BRYZGALOV	1481	123.476	128	PHI
JOHAN HEDBERG	687	53.073	46	N.J
CAREY PRICE	1842	145.896	139	MTL
RAY EMERY	812	76.002	76	CHI
BEN BISHOP	238	18.519	19	OTT
RICHARD BACHMAN	463	37.342	40	DAL
ANDERS NILSSON	108	10.965	10	NYI
DAN ELLIS	206	17.728	16	ANA
BRAD THIESSEN	110	8.746	13	PIT
RYAN MILLER	1720	138.189	133	BUF
MARTY TURCO	109	9.166	14	BOS
PETER MANNINO	4	0.259	0	WPG
BRIAN ELLIOTT	931	76.901	54	STL
JUSSI RYNNAS	37	2.870	5	TOR
JOSE THEODORE	1468	115.541	111	FLA
SEBASTIEN CARON	56	4.067	6	T.B
MARC-ANDRE FLEURY	1692	142.851	134	PIT
TUUKKA RASK	593	45.162	40	BOS
DEVAN DUBNYK	1342	111.817	108	EDM
JONATHAN QUICK	1765	141.171	119	L.A
PETER BUDAJ	494	38.224	38	MTL
SERGEI BOBROVSKY	747	61.905	67	PHI
JAMES REIMER	947	79.573	89	TOR
MICHAL NEUVIRTH	937	74.807	83	WSH
JHONAS ENROTH	734	56.884	55	BUF
BEN SCRIVENS	351	29.762	31	TOR
JONAS HILLER	1911	175.002	168	ANA
DWAYNE ROLOSON	1082	90.348	108	T.B
ANTTI NIEMI	1778	142.892	138	S.J
THOMAS GREISS	450	35.528	37	S.J
TOMAS VOKOUN	1248	96.083	93	WSH
MATT HACKETT	278	21.746	21	MIN
MARTIN BIRON	498	41.518	45	NYR
COREY CRAWFORD	1464	127.153	136	CHI
JOEY MACDONALD	314	25.697	25	DET
MARTIN BRODEUR	1425	111.136	121	N.J
KEVIN POULIN	151	13.123	12	NYI
ALEX AULD	302	23.102	29	OTT
TIM THOMAS	1558	117.671	123	BOS
MIKE SMITH	1980	170.974	133	PHX
IIRO TARKKI	10	1.003	3	ANA
BRENT JOHNSON	340	30.411	38	PIT
BRADEN HOLTBY	185	14.806	14	WSH
NIKLAS BACKSTROM	1251	95.136	92	MIN
CORY SCHNEIDER	918	80.479	53	VAN
JAROSLAV HALAK	1165	100.319	80	STL
JUSTIN PETERS	223	19.353	16	CAR
ANDERS LINDBACK	350	31.014	30	NSH
MIIKKA KIPRUSOFF	1970	157.349	142	CGY
CURTIS MCELHINNEY	32	2.295	1	PHX
