goalie	shots	xgoals	goals	teams
DEVAN DUBNYK	3648	312.415	272	ARI,MIN,EDM,NSH
ILJA BRYZGALOV	2110	167.051	177	PHX,ANA
CHRIS HOLT	3	0.186	0	STL
JONATHAN QUICK	5223	432.730	415	L.A
SCOTT DARLING	275	24.984	21	CHI
JAKE ALLEN	664	60.054	60	STL
DIMITRI PATZOLD	11	0.915	1	S.J
PETER BUDAJ	2992	250.216	281	MTL,COL
JEFF FRAZEE	3	0.327	0	N.J
SERGEI BOBROVSKY	3168	263.139	230	CBJ,PHI
SAMI AITTOKALLIO	43	3.268	5	COL
JEFF DROUIN-DESLAURIERS	304	25.739	23	EDM
KENT SIMPSON	7	0.447	2	CHI
KEVIN WEEKES	339	27.235	26	N.J
JAMES REIMER	2750	230.661	225	TOR
CEDRICK DESJARDINS	44	3.601	3	T.B
MIKE MCKENNA	341	27.528	32	ARI,CBJ,N.J,T.B
CRISTOPHER NILSTORP	77	5.602	6	DAL
MICHAL NEUVIRTH	2368	197.172	200	BUF,NYI,WSH
JHONAS ENROTH	1901	157.027	168	BUF,DAL
BEN SCRIVENS	1643	139.056	151	EDM,L.A,TOR
STEVE VALIQUETTE	41	3.909	8	NYR
JONAS HILLER	5032	429.234	392	CGY,ANA
MIKE BRODEUR	69	6.946	2	OTT
DWAYNE ROLOSON	3764	313.949	313	T.B,NYI,EDM
ANTTI NIEMI	4442	356.611	350	S.J,CHI
THOMAS GREISS	1374	116.019	107	PIT,PHX,S.J
JOHAN HEDBERG	2840	235.802	250	N.J,ATL
MATT HACKETT	469	39.268	42	BUF,MIN
JOHAN HOLMQVIST	526	39.675	51	T.B,DAL
MARTIN BIRON	2702	207.776	230	NYR,NYI,PHI
NATHAN LIEUWEN	137	11.823	13	BUF
MATT KEETLEY	2	0.066	0	CGY
KARRI RAMO	1589	134.944	141	CGY,T.B
COREY CRAWFORD	3415	284.449	248	CHI
MIKKO KOSKINEN	51	3.898	6	NYI
JOEY MACDONALD	1901	158.273	159	CGY,DET,TOR,NYI
EMMANUEL FERNANDEZ	68	5.752	16	BOS
MARTIN BRODEUR	4517	369.929	373	STL,N.J
KEVIN POULIN	758	62.763	65	NYI
ALEX AULD	1451	119.354	117	OTT,MTL,DAL,NYR
ANTON FORSBERG	74	7.011	9	CBJ
MIKE SMITH	5421	457.195	474	ARI,PHX,T.B,DAL
STEPHEN VALIQUETTE	605	49.241	50	NYR
MATT ZABA	15	1.333	1	NYR
BRENT JOHNSON	1493	120.720	128	PIT,WSH
MANNY FERNANDEZ	372	32.123	35	BOS
DANIEL LACOSTA	24	2.051	2	CBJ
TOM MCCOLLUM	17	1.215	0	DET
BRADEN HOLTBY	2534	201.566	190	WSH
NIKLAS SVEDBERG	247	20.579	19	BOS
EDDIE LACK	1205	101.442	94	VAN
NIKLAS BACKSTROM	4784	385.187	368	MIN
DANY SABOURIN	723	58.727	65	PIT
TOBIAS STEPHAN	187	15.256	17	DAL
CORY SCHNEIDER	3155	277.738	230	N.J,VAN
FREDRIK NORRENA	580	43.638	57	CBJ
CHRIS OSGOOD	1599	136.410	138	DET
MALCOLM SUBBAN	6	0.224	1	BOS
ALEXANDER PECHURSKI	13	0.956	1	PIT
JAROSLAV HALAK	4040	345.818	319	NYI,STL,WSH,MTL
WADE DUBIELEWICZ	382	29.924	31	MIN,CBJ,NYI
JUSTIN PETERS	1224	105.744	117	WSH,CAR
FREDERIK ANDERSEN	985	81.800	81	ANA
SIMEON VARLAMOV	95	7.251	5	WSH
ANDERS LINDBACK	1653	138.541	147	DAL,BUF,T.B,NSH
CALVIN PICKARD	237	22.418	10	COL
JOHN CURRY	57	5.577	9	MIN,PIT
DAVID AEBISCHER	30	2.050	3	PHX
MIIKKA KIPRUSOFF	5010	409.088	447	CGY
CURTIS MCELHINNEY	1963	166.661	182	CBJ,PHX,ANA,OTT,CGY
DOMINIK HASEK	382	31.101	39	DET
MACKENZIE SKAPSKI	20	1.094	0	NYR
OLAF KOLZIG	801	63.939	76	T.B,WSH
