goalie	shots	xgoals	goals	teams
NATHAN LAWSON	8	0.730	2	OTT
CARTER HUTTON	968	78.213	87	NSH
EVGENI NABOKOV	1035	95.471	96	NYI
JACOB MARKSTROM	357	29.851	40	FLA,VAN
JOSH HARDING	669	47.523	41	MIN
CAM TALBOT	541	42.877	29	NYR
JEFF ZATKOFF	566	47.166	46	PIT
ANTTI RAANTA	594	51.786	59	CHI
PHILIPP GRUBAUER	454	33.455	29	WSH
SCOTT CLEMMENSEN	439	34.207	42	FLA
JONI ORTIO	187	17.219	20	CGY
JASON LABARBERA	141	11.073	19	EDM
CEDRICK DESJARDINS	13	0.998	2	T.B
CONNOR KNAPP	30	2.465	4	BUF
SEMYON VARLAMOV	1955	163.606	127	COL
ANTON KHUDOBIN	1048	84.796	66	CAR
CRAIG ANDERSON	1624	124.795	132	OTT
PETR MRAZEK	176	14.879	13	DET
KARI LEHTONEN	1840	151.825	131	DAL
ONDREJ PAVELEC	1575	135.703	149	WPG
MICHAEL HUTCHINSON	83	6.747	4	WPG
MARTIN JONES	481	44.571	32	L.A
ROBERTO LUONGO	1553	121.405	119	VAN,FLA
PEKKA RINNE	623	51.370	62	NSH
SAMI AITTOKALLIO	18	1.518	3	COL
ALEX STALOCK	547	41.452	34	S.J
ANDREW HAMMOND	11	0.653	0	OTT
JIMMY HOWARD	1425	118.559	112	DET
KRISTERS GUDLEVSKIS	36	2.537	2	T.B
DREW MACINTYRE	51	4.469	3	TOR
VIKTOR FASTH	330	28.134	30	ANA,EDM
MAGNUS HELLBERG	3	0.187	1	NSH
JOHN GIBSON	84	8.401	4	ANA
CAM WARD	796	65.809	71	CAR
MAREK MAZANEC	620	50.077	57	NSH
MARK VISENTIN	32	2.266	3	PHX
AL MONTOYA	710	56.328	53	WPG
ROBIN LEHNER	1095	86.920	88	OTT
NIKOLAI KHABIBULIN	73	6.038	12	CHI
JOACIM ERIKSSON	31	1.763	3	VAN
HENRIK LUNDQVIST	1744	150.208	125	NYR
STEVE MASON	1674	127.205	126	PHI
JONAS GUSTAVSSON	712	56.426	63	DET
JONATHAN BERNIER	1724	130.451	120	TOR
ILYA BRYZGALOV	867	70.818	67	EDM,MIN
DARCY KUEMPER	679	49.547	52	MIN
CAREY PRICE	1750	143.955	120	MTL
RAY EMERY	685	58.015	62	PHI
BEN BISHOP	1706	133.174	119	T.B
RICHARD BACHMAN	83	6.384	7	EDM
ANDERS NILSSON	528	47.613	49	NYI
DAN ELLIS	506	42.510	56	DAL,FLA
RYAN MILLER	1834	149.368	146	BUF,STL
RETO BERRA	800	70.851	79	CGY,COL
BRIAN ELLIOTT	658	51.843	48	STL
JACK CAMPBELL	46	5.136	5	DAL
MARC-ANDRE FLEURY	1704	140.962	134	PIT
TUUKKA RASK	1548	118.566	103	BOS
CHAD JOHNSON	674	55.342	45	BOS
DEVAN DUBNYK	928	73.229	86	EDM,NSH
JONATHAN QUICK	1138	94.456	92	L.A
PETER BUDAJ	599	48.016	48	MTL
SERGEI BOBROVSKY	1628	132.044	112	CBJ
JEAN-SEBASTIEN GIGUERE	584	52.969	49	COL
KENT SIMPSON	7	0.447	2	CHI
JAMES REIMER	1061	78.534	89	TOR
DUSTIN TOKARSKI	90	8.883	4	MTL
MIKE MCKENNA	109	7.766	8	CBJ
CRISTOPHER NILSTORP	17	1.874	3	DAL
MICHAL NEUVIRTH	506	43.564	38	WSH,BUF
JHONAS ENROTH	822	67.329	60	BUF
BEN SCRIVENS	1160	91.745	79	L.A,EDM
JONAS HILLER	1310	116.807	108	ANA
ANTTI NIEMI	1642	127.153	136	S.J
THOMAS GREISS	593	46.164	39	PHX
MATT HACKETT	231	18.604	19	BUF
MARTIN BIRON	37	3.493	8	NYR
NATHAN LIEUWEN	181	15.273	15	BUF
KARRI RAMO	1056	90.635	91	CGY
COREY CRAWFORD	1480	124.069	115	CHI
JOEY MACDONALD	250	22.474	28	CGY
MARTIN BRODEUR	922	75.097	88	N.J
KEVIN POULIN	797	67.543	81	NYI
CALVIN HEETER	33	2.589	4	PHI
TIM THOMAS	1345	108.407	120	FLA,DAL
MIKE SMITH	1804	152.506	141	PHX
BRADEN HOLTBY	1428	109.320	107	WSH
NIKLAS SVEDBERG	33	2.967	2	BOS
EDDIE LACK	1021	80.285	80	VAN
NIKLAS BACKSTROM	522	43.538	47	MIN
CORY SCHNEIDER	1068	89.295	77	N.J
JAROSLAV HALAK	1331	108.241	99	STL,WSH
JUSTIN PETERS	603	51.503	46	CAR
FREDERIK ANDERSEN	753	67.978	55	ANA
ANDERS LINDBACK	568	44.636	56	T.B
JOHN CURRY	57	4.023	2	MIN
CURTIS MCELHINNEY	679	51.933	61	CBJ
