goalie	shots	xgoals	goals	teams
EVGENI NABOKOV	2097	171.819	151	S.J
CHRIS MASON	1654	144.338	129	STL
JOSH HARDING	675	53.647	60	MIN
CRISTOBAL HUET	1063	92.383	105	CHI
ANDREW RAYCROFT	423	37.489	36	VAN
ALEXANDER PECHURSKI	13	0.956	1	PIT
ERIK ERSBERG	222	18.056	19	L.A
SCOTT CLEMMENSEN	656	51.627	54	FLA
JASON LABARBERA	443	34.314	31	PHX
DUSTIN TOKARSKI	15	1.516	3	T.B
JAMES HOWARD	197	15.832	19	DET
SEMYON VARLAMOV	698	52.541	58	WSH
ANTON KHUDOBIN	46	3.683	1	MIN
CRAIG ANDERSON	2166	178.430	171	COL
YANN DANIS	196	15.314	15	N.J
JEFF DROUIN-DESLAURIERS	92	6.952	6	EDM
ONDREJ PAVELEC	1325	113.697	111	ATL
PASCAL LECLAIRE	803	71.316	89	OTT
ROBERTO LUONGO	1853	154.731	148	VAN
MATHIEU GARON	835	66.881	73	CBJ
PEKKA RINNE	1494	125.257	118	NSH
JEAN-SEBASTIEN GIGUERE	1015	84.825	83	ANA,TOR
VESA TOSKALA	749	65.059	84	TOR,CGY
ALEXANDER SALAK	39	3.112	3	FLA
JEFF DESLAURIERS	1357	109.094	119	EDM
BRIAN BOUCHER	771	62.802	73	PHI
JEREMY DUCHESNE	4	0.320	1	PHI
JIMMY HOWARD	1557	124.322	103	DET
RICK DIPIETRO	188	14.617	17	NYI
JOHAN BACKLUND	24	1.829	2	PHI
MICHAEL LEIGHTON	864	73.506	78	CAR,PHI
CAM WARD	1336	119.732	99	CAR
NIKOLAI KHABIBULIN	589	44.302	51	EDM
HENRIK LUNDQVIST	2059	187.312	142	NYR
ANTERO NIITTYMAKI	1316	105.068	115	T.B
STEVE MASON	1615	133.989	147	CBJ
JONAS GUSTAVSSON	1112	90.899	95	TOR
JONATHAN BERNIER	87	7.144	4	L.A
MATT CLIMIE	37	3.174	4	DAL
TY CONKLIN	743	62.214	52	STL
ILYA BRYZGALOV	1509	121.287	115	PHX
TOMAS VOKOUN	2034	159.576	143	FLA
CAREY PRICE	1196	86.843	93	MTL
RAY EMERY	752	63.917	64	PHI
NIKLAS BACKSTROM	1586	116.940	134	MIN
DAN ELLIS	831	71.696	75	NSH
RYAN MILLER	1992	155.627	133	BUF
MARTY TURCO	1567	122.982	130	DAL
PATRICK LALIME	420	31.012	37	BUF
BRIAN ELLIOTT	1348	110.692	117	OTT
JOSE THEODORE	1273	105.859	98	WSH
MARC-ANDRE FLEURY	1691	142.438	147	PIT
TUUKKA RASK	1172	92.418	75	BOS
CHAD JOHNSON	133	11.099	10	NYR
MANNY LEGACE	713	62.551	64	CAR
DEVAN DUBNYK	572	47.663	57	EDM
ILJA BRYZGALOV	361	27.613	22	PHX
JONATHAN QUICK	1854	152.772	160	L.A
PETER BUDAJ	371	32.355	31	COL
MICHAL NEUVIRTH	451	34.666	32	WSH
JHONAS ENROTH	34	2.403	4	BUF
STEVE VALIQUETTE	41	3.909	8	NYR
JONAS HILLER	1812	153.045	129	ANA
MIKE BRODEUR	84	7.666	3	OTT
DWAYNE ROLOSON	1505	131.076	130	NYI
ANTTI NIEMI	908	76.681	72	CHI
THOMAS GREISS	388	35.021	30	S.J
JOHAN HEDBERG	1325	112.570	103	ATL
MARTIN BIRON	820	70.891	80	NYI
COREY CRAWFORD	34	3.108	2	CHI
JOEY MACDONALD	152	12.438	16	TOR
MARTIN BRODEUR	1947	153.246	153	N.J
ALEX AULD	592	44.245	58	DAL,NYR
TIM THOMAS	1148	87.905	90	BOS
MIKE SMITH	1132	89.131	101	T.B
STEPHEN VALIQUETTE	85	8.484	10	NYR
MATT ZABA	15	1.333	1	NYR
BRENT JOHNSON	526	44.048	48	PIT
CORY SCHNEIDER	53	4.979	4	VAN
CHRIS OSGOOD	541	45.264	60	DET
KARI LEHTONEN	344	28.897	27	DAL
JAROSLAV HALAK	1351	112.529	89	MTL
WADE DUBIELEWICZ	32	2.072	5	MIN
JUSTIN PETERS	239	21.477	21	CAR
JOHN CURRY	14	1.310	4	PIT
MIIKKA KIPRUSOFF	1946	158.925	145	CGY
CURTIS MCELHINNEY	514	43.487	47	CGY,ANA
