goalie	shots	xgoals	goals	teams
MARC DENIS	6	0.617	1	MTL
EVGENI NABOKOV	1612	126.460	123	S.J
CHRIS MASON	1492	120.752	115	STL
MAREK SCHWARZ	5	0.339	0	STL
JOSH HARDING	445	35.581	28	MIN
CRISTOBAL HUET	1063	95.569	90	CHI
ANDREW RAYCROFT	793	60.456	77	COL
ERIK ERSBERG	636	47.763	56	L.A
CURTIS SANFORD	434	34.308	33	VAN
SCOTT CLEMMENSEN	1107	86.733	80	N.J
JASON LABARBERA	650	50.025	56	L.A,VAN
JAMES HOWARD	27	2.003	3	DET
MARTIN GERBER	774	61.239	72	OTT,TOR
CRAIG ANDERSON	948	78.771	67	FLA
YANN DANIS	898	77.178	74	NYI
KARI LEHTONEN	1477	119.575	115	ATL
ONDREJ PAVELEC	296	26.170	35	ATL
PASCAL LECLAIRE	313	23.649	36	CBJ
ROBERTO LUONGO	1476	117.321	105	VAN
MATHIEU GARON	488	39.402	48	EDM,PIT
PEKKA RINNE	1390	111.569	98	NSH
JEAN-SEBASTIEN GIGUERE	1246	103.101	109	ANA
VESA TOSKALA	1440	120.710	138	TOR
BRIAN BOUCHER	544	43.053	39	S.J
RICK DIPIETRO	134	11.377	13	NYI
MICHAEL LEIGHTON	486	39.648	43	CAR
PATRICK LALIME	650	47.390	61	BUF
JOSH TORDJMAN	61	4.403	7	PHX
CAM WARD	1857	154.012	140	CAR
AL MONTOYA	118	9.203	8	PHX
NIKOLAI KHABIBULIN	1170	98.590	85	CHI
HENRIK LUNDQVIST	1948	176.325	141	NYR
ANTERO NIITTYMAKI	915	73.553	73	PHI
STEVE MASON	1614	132.867	123	CBJ
BRENT KRAHN	9	0.801	3	DAL
MATT CLIMIE	84	7.064	9	DAL
TY CONKLIN	965	77.045	83	DET
JUSTIN POGGE	162	12.744	24	TOR
TOMAS VOKOUN	1817	140.857	126	FLA
CAREY PRICE	1470	117.027	127	MTL
RIKU HELENIUS	2	0.140	0	T.B
BEN BISHOP	108	8.920	11	STL
DAN ELLIS	938	77.435	85	NSH
RYAN MILLER	1721	120.167	122	BUF
MARTY TURCO	1934	157.714	186	DAL
PETER MANNINO	87	6.872	9	NYI
CURTIS JOSEPH	370	31.815	49	TOR
BRIAN ELLIOTT	766	59.221	69	OTT
JOSE THEODORE	1530	120.319	137	WSH
MARC-ANDRE FLEURY	1804	137.831	137	PIT
TUUKKA RASK	31	1.677	0	BOS
MANNY LEGACE	652	48.807	68	STL
ILJA BRYZGALOV	1888	141.330	167	PHX
CHRIS HOLT	3	0.186	0	STL
JONATHAN QUICK	1168	91.826	91	L.A
MIKAEL TELLQVIST	521	39.952	40	PHX,BUF
PETER BUDAJ	1471	116.195	144	COL
JEFF DROUIN-DESLAURIERS	299	25.205	29	EDM
MIKE MCKENNA	399	29.640	36	T.B
MICHAL NEUVIRTH	99	6.852	7	WSH
JONAS HILLER	1187	101.311	88	ANA
DWAYNE ROLOSON	1906	142.466	139	EDM
ANTTI NIEMI	59	5.527	7	CHI
JOHAN HEDBERG	858	70.890	85	ATL
MARTIN BIRON	1665	132.914	132	PHI
KARRI RAMO	743	52.524	65	T.B
JOEY MACDONALD	1540	125.271	137	NYI
MARTIN BRODEUR	841	68.317	66	N.J
ALEX AULD	1104	91.693	89	OTT
TIM THOMAS	1590	124.859	97	BOS
MIKE SMITH	1247	84.199	93	T.B
STEPHEN VALIQUETTE	411	35.586	33	NYR
KEVIN WEEKES	388	29.885	29	N.J
BRENT JOHNSON	571	41.210	45	WSH
MANNY FERNANDEZ	758	62.794	66	BOS
DANIEL LACOSTA	78	5.909	4	CBJ
NIKLAS BACKSTROM	2015	144.059	134	MIN
DANY SABOURIN	453	37.069	43	PIT
TOBIAS STEPHAN	199	16.391	24	DAL
FREDRIK NORRENA	130	10.347	14	CBJ
CHRIS OSGOOD	1160	94.742	110	DET
JAROSLAV HALAK	1037	85.776	76	MTL
WADE DUBIELEWICZ	77	6.641	10	CBJ
CORY SCHNEIDER	158	14.145	19	VAN
SIMEON VARLAMOV	156	12.362	11	WSH
JOHN CURRY	67	5.802	5	PIT
MIIKKA KIPRUSOFF	2093	166.973	179	CGY
CURTIS MCELHINNEY	235	18.720	23	CGY
OLAF KOLZIG	241	17.430	22	T.B
