team	score	pp	pk	pptime	pktime	adjxdiff	xdiff	pos	neg	attemptsfor	attemptsagainst	shotsfor	shotsagainst
N.J	0.521	38.719	36.869	26399	26287	0.518	0.519	171.240	158.664	2261	2189	1692	1640
MIN	0.464	41.341	45.797	25521	28503	0.467	0.466	172.080	197.041	2214	2755	1593	1916
NYR	0.527	48.620	42.483	27796	25939	0.530	0.529	219.186	195.527	2396	2421	1748	1712
WSH	0.490	35.707	42.011	24035	26374	0.484	0.483	175.410	187.538	2442	2553	1742	1837
BOS	0.526	36.090	38.081	24916	25366	0.518	0.517	181.794	169.553	2775	2433	1996	1801
DET	0.545	56.067	45.712	29069	26884	0.548	0.547	219.663	182.110	2695	2206	1968	1600
NYI	0.472	42.124	41.018	24050	23567	0.477	0.479	192.617	209.127	2470	2604	1812	1847
FLA	0.477	42.792	38.621	28414	23008	0.490	0.488	173.440	181.976	2497	2567	1807	1907
L.A	0.532	42.528	48.428	28855	30490	0.518	0.516	191.841	179.781	2669	2286	1855	1569
COL	0.500	37.703	40.752	21724	28564	0.497	0.496	196.262	199.620	2670	2617	1970	1870
NSH	0.493	35.253	44.117	24031	23320	0.484	0.483	187.148	200.572	2385	2680	1745	1942
DAL	0.495	33.473	50.780	24459	29296	0.472	0.472	173.392	193.605	2444	2550	1694	1822
CGY	0.485	40.556	42.292	25865	25609	0.487	0.486	182.158	192.751	2347	2661	1704	1893
TOR	0.466	37.631	39.748	25830	23515	0.467	0.470	181.068	204.314	2547	2763	1768	1929
T.B	0.491	34.760	48.648	26197	26954	0.470	0.474	177.477	196.802	2362	2562	1697	1828
WPG	0.510	38.549	48.582	24844	28085	0.495	0.495	196.268	199.962	2676	2575	1870	1820
PIT	0.540	52.364	38.100	27793	27394	0.545	0.548	220.973	181.969	2852	2316	2067	1659
VAN	0.492	50.033	50.688	27516	28666	0.495	0.493	194.269	199.885	2567	2409	1836	1831
STL	0.541	45.837	43.848	25751	28615	0.538	0.534	203.835	178.019	2645	2242	1855	1598
CHI	0.518	41.105	44.887	28257	23070	0.506	0.509	206.727	199.097	2750	2424	2012	1771
S.J	0.534	56.954	36.658	26992	21665	0.553	0.551	220.189	179.068	2790	2478	2009	1774
MTL	0.472	45.313	40.403	30206	31286	0.486	0.485	174.776	185.323	2253	2487	1621	1789
PHI	0.527	66.039	46.000	32930	30720	0.543	0.544	228.177	191.266	2508	2398	1828	1687
ANA	0.483	51.656	45.845	26649	27832	0.492	0.494	202.666	207.622	2404	2511	1658	1757
CBJ	0.479	59.800	43.334	32127	25988	0.505	0.506	197.193	192.802	2319	2536	1724	1903
BUF	0.485	42.721	41.965	25353	25217	0.490	0.489	187.278	195.753	2468	2659	1800	1909
CAR	0.480	49.651	44.896	28654	23774	0.490	0.490	212.633	221.331	2550	2823	1800	2009
EDM	0.478	40.404	49.373	25775	30312	0.472	0.472	186.398	208.704	2379	2599	1687	1877
PHX	0.481	35.294	50.365	25453	24862	0.469	0.467	190.349	217.511	2611	2767	1835	1958
OTT	0.499	41.586	50.369	26319	30618	0.489	0.489	199.198	208.414	2734	2609	1962	1900
