team	score	pp	pk	pptime	pktime	adjxdiff	xdiff	pos	neg	attemptsfor	attemptsagainst	shotsfor	shotsagainst
N.J	0.565	24.200	18.602	16894	15983	0.563	0.565	105.178	80.829	1396	1087	980	808
MIN	0.533	27.756	19.357	15602	13697	0.543	0.545	115.621	96.353	1397	1408	1019	1002
NYR	0.560	22.211	22.094	15622	14351	0.553	0.549	132.280	108.476	1628	1411	1178	997
WSH	0.496	23.614	28.509	15532	15901	0.488	0.486	108.087	114.363	1438	1532	1022	1152
BOS	0.521	17.746	21.443	12269	16869	0.511	0.508	106.285	102.774	1683	1449	1198	1054
DET	0.533	32.365	25.573	17988	15855	0.542	0.539	123.766	105.787	1531	1311	1089	978
NYI	0.502	27.540	21.140	14550	13645	0.512	0.515	123.222	116.149	1549	1501	1143	1027
FLA	0.461	19.419	24.621	14214	15336	0.453	0.457	97.928	116.323	1476	1584	1066	1163
L.A	0.546	22.589	23.077	15028	15555	0.533	0.535	113.667	98.673	1588	1269	1096	892
COL	0.479	20.971	31.998	14047	18161	0.459	0.461	108.921	127.537	1473	1536	1077	1094
NSH	0.497	22.069	21.288	14164	13677	0.499	0.499	106.464	106.873	1308	1466	946	1039
DAL	0.456	28.485	35.841	16968	17274	0.451	0.452	110.311	133.619	1358	1527	937	1071
CGY	0.481	22.571	24.223	15104	14743	0.475	0.481	108.274	116.721	1416	1571	1016	1107
TOR	0.440	21.238	21.862	15465	16101	0.451	0.451	95.439	116.286	1369	1741	954	1216
T.B	0.499	19.755	23.438	16072	15229	0.488	0.490	102.587	106.737	1425	1574	1031	1098
WPG	0.482	19.034	18.085	14604	13130	0.485	0.487	108.222	113.958	1559	1611	1066	1130
PIT	0.513	27.531	23.757	16056	15892	0.521	0.519	117.854	109.370	1512	1490	1094	1069
VAN	0.500	24.160	25.986	16731	16816	0.496	0.495	108.388	110.365	1409	1395	993	1036
STL	0.513	23.547	19.775	14814	15303	0.518	0.520	104.902	96.896	1437	1247	1022	874
CHI	0.541	20.220	19.212	15694	14330	0.538	0.536	113.047	97.934	1557	1251	1162	931
S.J	0.531	31.644	20.762	16166	14114	0.550	0.548	124.094	102.443	1594	1475	1110	1038
MTL	0.548	29.701	24.508	19755	16252	0.548	0.548	116.215	95.868	1503	1297	1064	944
PHI	0.471	28.515	22.842	16598	18090	0.489	0.492	103.338	106.865	1363	1510	977	1029
ANA	0.493	24.799	24.967	12819	16106	0.497	0.494	114.859	117.576	1403	1488	1005	1000
CBJ	0.460	22.167	20.973	15918	14544	0.473	0.471	96.386	108.062	1248	1493	924	1097
BUF	0.446	21.888	30.315	16284	16810	0.441	0.440	96.543	123.080	1329	1632	985	1173
CAR	0.479	27.316	25.085	16195	14807	0.486	0.487	125.565	132.064	1667	1660	1171	1173
EDM	0.459	22.056	31.168	16360	17720	0.451	0.449	107.227	131.542	1359	1633	972	1169
PHX	0.488	22.975	24.173	16613	16121	0.490	0.488	114.484	120.030	1553	1561	1082	1122
OTT	0.522	23.969	27.375	15284	16998	0.514	0.510	115.562	111.160	1674	1492	1205	1101
