team	score	pp	pk	pptime	pktime	adjxdiff	xdiff	pos	neg	attemptsfor	attemptsagainst	shotsfor	shotsagainst
N.J	0.469	30.446	49.117	21404	27946	0.453	0.449	155.045	189.967	2195	2477	1583	1839
MIN	0.538	49.658	36.424	25654	24052	0.546	0.547	202.341	167.671	2641	2403	1897	1712
NYR	0.505	41.023	35.998	23446	24053	0.512	0.510	214.548	206.257	2576	2685	1904	1892
WSH	0.522	40.589	46.833	22266	26749	0.508	0.508	184.444	178.751	2545	2365	1761	1677
BOS	0.509	41.616	39.972	22111	24691	0.511	0.509	181.952	175.471	2622	2563	1872	1861
DET	0.535	56.324	46.731	28173	28200	0.539	0.538	203.595	174.504	2411	2211	1734	1633
NYI	0.543	50.779	38.947	26628	20976	0.546	0.548	242.860	200.444	2930	2464	2107	1759
FLA	0.507	38.718	38.571	25061	24360	0.506	0.506	180.259	176.196	2574	2513	1892	1800
L.A	0.539	40.907	38.709	24700	24259	0.534	0.533	197.916	173.068	2798	2336	1941	1631
COL	0.430	35.862	47.280	24913	24637	0.431	0.430	164.324	217.799	2222	2888	1668	2055
NSH	0.540	39.674	41.306	27246	23263	0.531	0.529	198.495	176.674	2796	2438	2021	1751
DAL	0.530	47.914	43.180	28879	25469	0.526	0.529	222.410	197.701	2818	2564	1910	1810
CGY	0.446	43.643	31.373	26104	18716	0.473	0.474	175.355	194.902	2344	2735	1662	1897
TOR	0.448	47.201	49.842	28636	26571	0.457	0.458	181.385	215.028	2461	2875	1753	2026
CAR	0.509	40.536	31.833	24205	19585	0.515	0.518	203.165	188.903	2784	2533	1976	1758
WPG	0.522	45.350	52.790	27371	31306	0.508	0.507	196.073	190.982	2503	2298	1774	1639
PIT	0.524	51.472	53.782	26043	28281	0.515	0.515	203.762	191.980	2557	2291	1865	1683
VAN	0.498	41.452	41.543	23749	26998	0.497	0.499	195.567	196.640	2542	2528	1837	1832
STL	0.529	43.928	37.513	24696	26419	0.532	0.531	198.472	175.027	2677	2357	1908	1677
CHI	0.513	43.630	38.665	26962	21429	0.520	0.516	210.827	197.608	2857	2555	2146	1936
T.B	0.546	32.491	43.160	27875	25688	0.520	0.521	180.850	166.361	2605	2283	1901	1624
S.J	0.506	54.616	39.906	25464	22025	0.522	0.523	212.530	194.109	2732	2636	1883	1864
MTL	0.485	38.071	44.543	24404	26041	0.483	0.480	181.486	196.714	2463	2552	1764	1831
PHI	0.478	48.086	43.520	25297	26962	0.492	0.490	182.135	189.623	2407	2531	1704	1818
ANA	0.526	43.987	40.657	23833	26776	0.523	0.524	208.893	189.470	2678	2488	1818	1746
CBJ	0.480	42.787	56.549	24668	30729	0.467	0.468	184.599	210.226	2405	2672	1777	1965
BUF	0.398	35.195	45.774	23169	25328	0.406	0.406	152.806	223.949	1946	3131	1459	2227
EDM	0.459	38.460	37.615	23255	22187	0.464	0.469	177.429	201.156	2492	2774	1761	1945
ARI	0.465	41.692	57.217	23174	27820	0.452	0.454	180.952	217.570	2503	2783	1750	1978
OTT	0.495	49.302	46.061	28368	26238	0.502	0.500	199.091	198.817	2492	2647	1806	1968
