team	score	pp	pk	pptime	pktime	adjxdiff	xdiff	pos	neg	attemptsfor	attemptsagainst	shotsfor	shotsagainst
N.J	0.506	37.097	36.758	24390	25060	0.503	0.505	168.184	164.727	2443	2226	1807	1655
MIN	0.456	41.570	48.402	28080	29745	0.458	0.457	165.446	196.457	2204	2713	1565	1934
NYR	0.542	52.640	43.312	29924	25784	0.545	0.544	248.375	208.476	2563	2534	1832	1845
WSH	0.512	51.267	44.553	26349	30449	0.519	0.518	200.167	186.387	2503	2436	1803	1723
ATL	0.475	41.658	48.312	27576	26178	0.472	0.472	188.614	210.899	2582	2650	1868	1973
BOS	0.483	41.677	43.955	26995	26328	0.489	0.484	184.558	196.754	2733	2737	2022	2025
DET	0.526	56.885	48.902	28908	29315	0.527	0.529	222.601	198.183	2870	2559	2028	1867
NYI	0.454	50.411	48.473	30311	30714	0.465	0.467	196.495	223.983	2321	2698	1677	1890
FLA	0.510	39.338	49.888	27413	27837	0.494	0.494	193.700	198.350	2656	2656	1912	1936
L.A	0.530	45.194	43.486	29986	27297	0.525	0.525	197.046	178.285	2573	2431	1762	1712
COL	0.497	42.123	55.973	26588	29949	0.479	0.481	200.809	216.311	2413	2681	1777	1927
NSH	0.470	42.804	47.297	26640	27653	0.474	0.471	184.541	207.421	2414	2590	1778	1898
DAL	0.476	63.379	48.239	30929	28090	0.503	0.502	197.950	196.246	2301	2540	1566	1820
CGY	0.531	51.701	43.776	31375	28109	0.533	0.534	194.510	169.688	2588	2337	1824	1678
TOR	0.461	44.172	45.555	32765	26974	0.468	0.468	174.708	198.279	2447	2718	1716	1886
T.B	0.581	52.463	43.302	32256	30041	0.569	0.572	214.391	160.222	2633	2255	1908	1602
BUF	0.530	51.417	45.892	27202	29062	0.530	0.529	212.831	189.235	2661	2580	2000	1840
VAN	0.505	52.964	52.021	27545	31358	0.508	0.505	211.450	207.084	2664	2460	1901	1796
STL	0.502	44.987	46.707	27709	27212	0.496	0.499	201.969	202.432	2667	2415	1865	1710
CHI	0.522	45.317	42.790	26733	25315	0.520	0.520	206.336	190.248	2764	2407	2052	1773
S.J	0.551	66.199	47.275	27329	26319	0.561	0.559	242.780	191.281	2836	2405	2030	1737
MTL	0.504	46.061	52.219	27785	32796	0.497	0.495	197.118	201.062	2650	2470	1894	1815
PHI	0.506	53.650	48.512	29797	31089	0.512	0.511	214.219	205.161	2555	2592	1873	1829
ANA	0.459	57.610	55.473	27016	29776	0.472	0.472	206.533	231.262	2308	2792	1664	1942
CBJ	0.506	54.575	50.879	29569	30294	0.507	0.509	205.926	198.528	2480	2418	1785	1769
PIT	0.514	47.547	44.689	31601	32233	0.516	0.515	193.915	182.872	2575	2306	1879	1665
CAR	0.465	51.765	52.771	34017	25978	0.473	0.472	210.541	235.513	2540	2821	1762	1972
EDM	0.453	40.634	60.474	29711	31117	0.438	0.440	175.254	222.827	2212	2626	1586	1862
PHX	0.480	44.707	55.042	28191	28178	0.475	0.472	194.355	217.470	2652	2731	1866	1916
OTT	0.495	39.204	56.092	25703	30143	0.472	0.475	187.605	207.284	2503	2527	1826	1831
