team	score	pp	pk	pptime	pktime	adjxdiff	xdiff	pos	neg	attemptsfor	attemptsagainst	shotsfor	shotsagainst
N.J	0.510	52.708	48.854	32267	31895	0.514	0.513	177.992	169.122	2277	2119	1634	1559
MIN	0.454	44.788	43.795	32203	32181	0.469	0.469	146.012	165.454	2175	2409	1517	1760
TOR	0.494	53.899	53.840	34837	35109	0.492	0.496	184.665	187.859	2508	2332	1769	1621
CAR	0.502	57.272	51.211	40846	33546	0.508	0.509	194.721	187.704	2488	2343	1818	1664
ATL	0.444	40.502	49.254	31532	33973	0.445	0.446	157.475	195.939	1973	2674	1484	2014
BOS	0.485	38.880	49.165	31117	32753	0.476	0.473	151.391	168.628	2272	2213	1624	1656
DET	0.563	62.991	43.820	36155	34661	0.572	0.571	198.036	148.805	2620	1796	1880	1307
NYI	0.493	38.932	59.979	32813	37086	0.468	0.466	174.400	199.473	2327	2341	1724	1666
FLA	0.463	45.278	55.515	29789	35900	0.463	0.459	169.125	199.167	2382	2627	1765	1940
L.A	0.454	58.488	55.218	36998	29440	0.469	0.471	183.028	205.252	2266	2727	1621	1916
COL	0.512	51.359	45.977	33729	29551	0.515	0.516	190.185	178.349	2242	2275	1695	1623
NSH	0.503	44.032	42.356	35774	33258	0.504	0.504	179.027	175.964	2353	2340	1717	1757
DAL	0.489	42.680	48.611	34437	35053	0.481	0.483	153.515	164.598	2178	2118	1555	1508
CGY	0.511	53.634	48.984	33702	36809	0.514	0.514	177.283	167.310	2269	2191	1605	1608
NYR	0.543	61.681	46.225	35480	32817	0.553	0.551	214.685	174.744	2477	1973	1775	1427
T.B	0.504	40.113	40.210	28343	30453	0.498	0.503	160.901	158.998	2326	2312	1686	1658
BUF	0.534	49.911	43.863	35898	33528	0.532	0.534	179.019	156.449	2293	2240	1720	1634
WSH	0.553	46.709	50.240	33110	34793	0.532	0.534	186.158	162.777	2599	2084	1849	1525
VAN	0.496	55.408	50.616	35127	35339	0.505	0.504	175.330	172.502	2110	2290	1480	1620
STL	0.478	40.394	49.785	32669	35029	0.469	0.470	159.620	179.842	2129	2260	1540	1564
CHI	0.480	42.104	51.573	36431	37269	0.471	0.471	155.022	173.906	2054	2050	1603	1614
S.J	0.580	57.495	40.351	36722	30152	0.581	0.582	195.883	140.559	2395	1902	1712	1356
MTL	0.468	60.454	56.394	35673	33063	0.485	0.483	184.006	196.700	2188	2516	1552	1794
PHI	0.473	58.211	51.627	35907	37016	0.492	0.490	180.618	187.855	2096	2429	1527	1793
ANA	0.503	50.194	55.583	33899	39675	0.499	0.494	168.615	172.435	2078	2044	1486	1498
CBJ	0.545	45.211	49.165	34831	35665	0.526	0.526	173.638	156.443	2198	2008	1631	1516
PIT	0.506	60.394	54.995	37631	35133	0.515	0.511	194.236	185.575	2154	2461	1553	1749
EDM	0.483	39.474	50.778	33744	36230	0.468	0.471	161.808	181.542	2219	2524	1572	1785
PHX	0.480	42.848	43.590	32668	31973	0.486	0.484	164.136	174.880	2426	2539	1788	1813
OTT	0.505	48.145	52.617	32098	37080	0.496	0.498	181.460	183.160	2377	2312	1751	1688
