team	score	pp	pk	pptime	pktime	adjxdiff	xdiff	pos	neg	attemptsfor	attemptsagainst	shotsfor	shotsagainst
N.J	0.559	30.545	44.192	24595	27808	0.523	0.525	175.156	158.346	2389	2007	1701	1497
MIN	0.513	44.642	42.189	25940	25939	0.516	0.513	175.191	166.179	2291	2378	1640	1663
NYR	0.543	47.995	37.986	26313	23152	0.548	0.546	237.058	196.815	2797	2532	2050	1820
CAR	0.483	43.576	37.846	27384	23242	0.494	0.493	206.112	211.784	2739	2787	1928	1966
BOS	0.527	41.850	39.855	22133	26355	0.528	0.523	188.919	172.079	2777	2397	1994	1748
DET	0.513	46.234	47.545	27870	29266	0.507	0.508	188.248	182.444	2485	2334	1793	1751
NYI	0.488	50.981	45.826	27408	26053	0.494	0.497	213.749	216.291	2547	2635	1858	1855
FLA	0.501	39.505	45.275	28821	25302	0.490	0.493	188.029	193.280	2620	2569	1883	1899
L.A	0.549	53.326	51.569	29456	29378	0.541	0.538	210.138	180.491	2784	2191	1898	1526
COL	0.457	42.349	49.905	25502	25545	0.459	0.457	190.490	225.956	2460	2835	1812	2004
NSH	0.503	35.657	41.678	24582	23911	0.491	0.494	181.232	185.518	2498	2578	1822	1838
DAL	0.508	59.180	46.735	29668	24756	0.520	0.521	224.375	206.686	2688	2596	1870	1821
CGY	0.453	37.149	39.792	24308	23595	0.455	0.459	169.597	200.020	2377	2604	1676	1834
TOR	0.432	45.924	47.303	25723	26424	0.447	0.446	177.566	220.692	2355	3216	1693	2205
T.B	0.516	36.971	46.927	26995	27193	0.500	0.499	182.039	182.977	2655	2500	1884	1739
WPG	0.512	39.780	49.318	25613	28151	0.495	0.498	200.226	202.230	2629	2563	1878	1830
PIT	0.496	51.121	48.900	26652	25535	0.499	0.500	189.441	189.295	2441	2484	1797	1714
WSH	0.473	50.920	54.820	27044	28156	0.476	0.475	185.642	205.188	2394	2694	1704	1969
VAN	0.504	46.699	37.930	25858	27584	0.514	0.515	192.263	181.298	2588	2491	1801	1782
STL	0.531	40.714	42.745	27065	29617	0.521	0.521	187.980	172.718	2583	2202	1789	1567
CHI	0.550	41.103	39.421	25174	24162	0.540	0.542	210.293	177.775	2815	2258	2107	1675
S.J	0.559	62.077	34.810	28427	21707	0.578	0.578	237.182	173.135	2954	2453	2081	1740
MTL	0.488	46.763	49.141	28381	29687	0.490	0.488	196.078	205.533	2400	2620	1682	1873
PHI	0.485	51.573	44.966	28986	32536	0.498	0.498	183.761	185.081	2416	2517	1696	1849
ANA	0.509	52.275	49.516	28061	26739	0.510	0.510	217.853	209.519	2605	2585	1876	1765
CBJ	0.514	48.406	50.575	27905	28112	0.509	0.508	193.012	187.102	2426	2421	1784	1804
BUF	0.429	43.232	54.621	26464	28378	0.433	0.432	170.064	223.763	2154	2925	1575	2106
EDM	0.459	42.287	50.683	27573	27894	0.455	0.458	179.741	213.010	2237	2836	1606	2001
PHX	0.473	49.263	47.227	27058	26029	0.484	0.482	187.509	201.221	2515	2558	1789	1837
OTT	0.484	44.292	47.093	26400	31153	0.484	0.485	195.739	208.257	2893	2746	2050	2039
