team	score	pp	pk	pptime	pktime	adjxdiff	xdiff	pos	neg	attemptsfor	attemptsagainst	shotsfor	shotsagainst
N.J	0.513	39.877	33.988	26540	23959	0.521	0.519	176.327	163.327	2472	2293	1836	1702
MIN	0.492	46.538	42.047	29591	29726	0.500	0.500	174.158	173.846	2316	2484	1619	1803
TOR	0.521	44.249	52.691	31862	27403	0.503	0.505	201.289	197.237	2837	2516	1986	1780
WSH	0.510	59.300	45.292	28852	30511	0.527	0.525	212.374	192.352	2648	2491	1907	1806
ATL	0.455	44.822	59.028	32086	32011	0.448	0.449	176.227	216.442	2345	2592	1738	1949
BOS	0.524	36.276	44.149	26171	27279	0.508	0.507	173.893	169.387	2586	2348	1884	1753
DET	0.537	58.561	40.174	30183	26685	0.551	0.551	214.522	174.705	2755	2399	1982	1774
NYI	0.489	58.731	56.596	31762	28423	0.493	0.494	214.922	219.797	2457	2606	1783	1879
FLA	0.460	42.104	48.499	30466	26962	0.463	0.461	179.801	210.325	2386	2835	1718	2094
L.A	0.528	49.995	51.503	29310	30046	0.519	0.519	198.522	184.016	2461	2310	1715	1592
COL	0.469	48.848	51.529	30386	29654	0.475	0.474	187.250	208.026	2248	2629	1669	1916
NSH	0.495	49.013	40.302	28558	23878	0.508	0.507	199.129	193.509	2634	2493	1859	1811
DAL	0.481	59.288	51.383	31478	27353	0.496	0.496	196.662	199.539	2446	2664	1765	1877
CGY	0.501	42.799	47.949	27374	30662	0.495	0.494	179.288	183.922	2473	2373	1716	1688
NYR	0.505	55.292	48.493	28973	30929	0.513	0.511	229.683	219.708	2510	2536	1797	1805
T.B	0.486	47.727	53.223	31588	32696	0.481	0.482	176.422	189.298	2255	2449	1635	1778
BUF	0.515	50.699	45.156	30556	28698	0.520	0.519	205.015	190.236	2550	2531	1898	1842
VAN	0.509	53.860	53.696	30560	31481	0.508	0.507	201.600	196.399	2495	2390	1788	1730
STL	0.501	53.817	58.977	30192	34668	0.494	0.494	202.198	206.928	2467	2412	1761	1714
CHI	0.568	45.785	40.783	28146	26387	0.555	0.559	208.546	164.755	2846	2058	2107	1516
S.J	0.511	60.770	58.603	29127	31762	0.512	0.510	216.826	208.204	2608	2544	1848	1828
MTL	0.464	46.994	46.654	24997	30725	0.475	0.473	181.671	202.491	2332	2681	1645	1922
PHI	0.531	59.899	48.958	30514	32660	0.536	0.536	219.669	190.185	2515	2370	1792	1708
ANA	0.464	59.285	59.072	29239	30649	0.476	0.474	208.219	231.157	2410	2774	1734	1968
CBJ	0.491	50.114	54.256	29703	31552	0.486	0.488	188.566	197.512	2211	2437	1675	1781
PIT	0.524	53.642	49.841	31600	32652	0.519	0.522	206.548	188.780	2654	2352	1914	1651
CAR	0.460	52.501	58.482	32379	30924	0.463	0.463	200.173	231.814	2368	2605	1663	1810
EDM	0.457	38.716	51.409	29390	29283	0.449	0.451	175.967	214.595	2370	2853	1712	1990
PHX	0.522	46.189	53.415	31427	30616	0.508	0.506	191.924	187.017	2546	2406	1822	1675
OTT	0.531	43.170	52.717	28287	31063	0.505	0.511	194.437	186.318	2460	2230	1776	1602
